regon;nazwa;pkd07
27016879900047;FIRMA PRODUKCYJNO-HANDLOWO-USŁUGOWA  WIENCEK GRZEGORZ                                                                   ;6820Z
24168346900030;GLOBALBASIC ELWIRA GAWRON                                                                                               ;4779Z
81270947700026;MIROSŁAWA KULETA FIRMA HANDLOWA                                                                                         ;9602Z
55042249400029;ZAKŁAD BUDOWLANY S.DMOCHOWSKI                                                                                           ;4120Z
22081820400022;ARKADIUSZ SKROBISZ WSPÓLNIK SPÓŁKI CYWILNEJ ASAPTRANS                                                                   ;4941Z
07100041800020;BLACHARSTWO BUDOWLANE DEKARSTWO WŁADYSŁAW SANECKI                                                                       ;4939Z
27757168200027;"SÓWKA ARKADIUSZ F.H.U. ""ARKAS""                                                                                          ";4719Z
36137844000032;FHU ŁUKASZ STEUER                                                                                                       ;4779Z
01246258200022;CENTRUM DIAGNOZY I TERAPII IRENA SOSIN S.C.                                                                             ;8690E
10115896400020;USŁUGI PIELĘGNIARSKIE DOROTA MAĆKOWSKA                                                                                  ;8690C
12024088900025;FOKS IZABELA                                                                                                            ;7990A
24015364000204;"PHU ""SMERF"" SŁAWOMIR GOLBA                                                                                              ";4711Z
36129780700040;FIMAX Paweł Filipiak                                                                                                    ;4941Z
18052812900032;"1. PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE ""EDAR"" S.C. ROMAN FRĄCEK, WIKTOR FRĄCEK, EDYTA FRĄCEK 2. PRZEDSIĘBIORS";4711Z
27368383000041;SYLWIA DĄBROWSKA                                                                                                        ;4711Z
34013404200049;JAROSŁAW SZCZUPAK ALSTAL-INVEST                                                                                         ;6820Z
05050450000020;Sala Bankietowa Marysieńka                                                                                              ;5610A
24108703000040;HIGIENA SZKOLNA - MARIA HAWLICKA                                                                                        ;8690E
06038250300064;"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""FOL-EKO"" ZACHARSKI KONRAD                                                               ";2222Z
30144652700020;TOMASZ PARECKI BHP - P.POŻ                                                                                              ;5610A
30137444300034;PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE KAR-SYSTEM DOMINIK KRÓLIKIEWICZ                                                      ;4778Z
32028338400024;PRZEMYSŁAW JAWORSKI AUTO KOMFORT                                                                                        ;4511Z
63981858500025;RENATA WALKOWIAK                                                                                                        ;4711Z
14211649700099;MAXBRUK Daniel Taraszewski                                                                                              ;5610A
14106931800028;"FUNDACJA CHRZEŚCIJAŃSKA ""DROGA ŻYCIA""                                                                                   ";8690E
36723491400010;BATEX RAFAŁ BATOR                                                                                                       ;4511Z
20026123700032;""" WISPOL "" MARIUSZ WISŁOCKI                                                                                             ";3312Z
30218300100020;La butik MARIA TOMCZEWSKA                                                                                               ;4791Z
73163331100057;Waldemar Rynkiewicz                                                                                                     ;4759Z
24129315900023;Borun HairStyle RAFAŁ BORUŃ                                                                                             ;9602Z
43045263403576;STOKROTKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ                                                                       ;4711Z
12301791000023;]KLAUDIA WYROBIEC-KADELA PROGRES CENTRUM KOMPLEKSOWEJ DIAGNOZY I TERAPII                                                ;8690A
93265256300111;ADVENTURA Gołębiowski Wojciech                                                                                          ;6820Z
91109253400020;MONTAŻ URZĄDZEŃ ROLNICZYCH - PAWEŁ KRETKOWSKI                                                                           ;4329Z
36805692300029;AUTO HANDEL PAWEŁ CIEŚLIK                                                                                               ;4511Z
69178321900027;PROT-MARK Pracownia Protetyczna Marek Bem                                                                               ;3250Z
38705231000029;DANUTA MACIEJCZYK                                                                                                       ;8690C
55118304000044;Salon kosmetyczny TINA                                                                                                  ;9602Z
14723091500029;Areno Krzysztof Urbanowicz                                                                                              ;4719Z
87110025300020;Usługi Medyczno - Pielęgniarskie Brygida Podlińska                                                                      ;8690C
32116581800028;MW CONSTRUCTION ADAM MICHALSKI                                                                                          ;4120Z
19163271400069;Hanna Gula AGENCJA PERSPEKTYWA                                                                                          ;6820Z
14240872200020;SALON URODY EWA CHYLIŃSKA                                                                                               ;9602Z
81255326500021;AUTO LINE S.C.                                                                                                          ;4511Z
10089693800021;"GRZELIK URSZULA ""BLUZECZKA""                                                                                             ";4779Z
81251647100044;VERLANI Jacek Warelis                                                                                                   ;4759Z
41113163000079;"""TELEPROMOCJA"" BOŻENA SZCZEPANIAK                                                                                       ";6820Z
36192906400015;KAROL GĄDZIAK TRANSKAR                                                                                                  ;4941Z
28002962400034;PM HAUSMONTAGE Piotr Malczewski                                                                                         ;4120Z
35042617900020;Wojciech Roszkowski FIRMA HANDLOWO-USŁUGOWA                                                                             ;4120Z
22050430000060;NET-TEL Daniel Szczepanik                                                                                               ;9602Z
24300953000029;"F.H. ""FUKS"" HENRYKA WSZELAKA                                                                                            ";4711Z
28141774200027;4PLAY Leszczyński Marcin                                                                                                ;9329Z
51020939500085;Sklep Przemysłowy Leszek Grochowski                                                                                     ;4759Z
32049672000064;"PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""NICOLLEX"" ŁUCJA CHWAŚCIAK                                                           ";6820Z
38292750200025;Cascara Maciej Błażejczyk                                                                                               ;4711Z
38353980200012;ROYAL BEAUTY WIKTORIA MAKOWSKA                                                                                          ;9602Z
38433450000027;PsycheVita Marta Bizacka                                                                                                ;8690E
36326291900011;Chicken World                                                                                                           ;5610A
27629817800085;"""ZOMA"" MARCIN HRONOWSKI                                                                                                 ";5610A
26003792900037;"""MarSylia"" USŁUGI TRANSPORTOWE Makuch Mariusz                                                                           ";4520Z
16002952500034;Stańkowski Tomasz Firma STANY                                                                                           ;1610Z
36334797500011;P.P.H. Kamil Chojnowski                                                                                                 ;4791Z
02137554800077;CZTERY PORY ROKU ANNA DMUCHOWSKA                                                                                        ;9602Z
15180565000157;"Przedsiębiorstwo Handlowo-Usługowe ""SMERFETKA"" Wiesława Golba-Kałużna                                                   ";4711Z
02184524400022;Sklep Wielobranżowy                                                                                                     ;4711Z
63061702300023;"MIROSŁAW OWCZARZAK P.U.H. ""MIR-POL""                                                                                     ";4779Z
63966082000026;WAKADO DAWID NOWAK                                                                                                      ;4941Z
25040547600030;"""MINIMARKET"" Zbigniew Bielak; SPRZEDAŻ HURTOWA OWOCÓW I WARZYW Zbigniew Bielak LOKAL GASTRONOMICZNY-PIZZERIA            ";5610A
16005164800020;SALON OPTYCZNY                                                                                                          ;4778Z
36352534200011;MAK-AUTO Marcin Szuba                                                                                                   ;4511Z
01736394000026;"A) MICHAŁ MYDLARSKI wspólnik spółek cywilnych: 1) WYRÓB GALANTERII Z METALU S.C. 2) TO-DO S.C. ; B) Michał Mydlarski PPH";2899Z
81204653900026;"STUDIO FRYZJERSKO-KOSMETYCZNE EDYTA CHOJNACKA ""UNIQUE""                                                                  ";9602Z
21022065000030;FPU Ryszard Ostrowski                                                                                                   ;2229Z
63453453500029;"MAREK OLSZEWSKI ""MARKO PLUS""                                                                                            ";4711Z
21007462200044;"CEZARY GIŁUDŹ ""ELEKTRO-SERWIS""                                                                                          ";4643Z
36228046000010;AGNIESZKA DUDKA INDYWIDUALNA PRAKTYKA PIELĘGNIARSKA                                                                     ;8690C
25082529600024;IKS PROJEKT KRYSTIAN SOBOCIŃSKI                                                                                         ;7490Z
25043312000039;"PRZEDSIĘBIORSTWO""TRUMEX"" TADEUSZ ŻYCHLEWICZ                                                                             ";1629Z
36772429700016;AGNIESZKA GŁUSEK                                                                                                        ;4791Z
36595006100021;MAT-MAR Marcin Matusik                                                                                                  ;4711Z
36118888600025;SG-SYSTEM Sebastian Grochowina                                                                                          ;4120Z
31023237700097;PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE ATELIER JASKOT ARKADIUSZ                                                 ;5610A
08045877400030;DBV Roman Dudak                                                                                                         ;7490Z
27271494100066;EWA WRÓBLEWSKA GABINET REHABILITACJI I MASAŻU                                                                           ;8690A
51962222800036;U-L KRZYSZTOF KOŚCIELSKI                                                                                                ;5210B
33040049700042;SCHORZENIA KRĘGOSŁUPA GABINET MASAŻU LECZNICZEGO SERGEI BELIAVSKII                                                      ;8690A
14057377600025;"KOŁODZIEJSKA AGNIESZKA ""FUKS""                                                                                           ";4711Z
36966533400018;VIRTUS Przemysław Kwiatkowski                                                                                           ;4312Z
53223779900024;Radosław Sęk Promocja Szkolenie Sprzedaż Publikacji Książkowych I Multimedialnych                                       ;1392Z
00334067600020;"KRZYSZTOF SKWAREK ""SAP MUSIC PROFESSIONAL"" SKRÓT ""SAP""                                                                  ";4759Z
33033997000040;"PPHU ""AGROMARKET"" IMPORT-EXPORT JAN MAC                                                                                 ";4941Z
14014658300025;TRADE CONSULTING TOMASZ CZERNIEJEWSKI                                                                                   ;6499Z
57052924200020;FIRMA ROL-BUD KRZYSZTOF ROGALA                                                                                          ;4778Z
34085335700027;MARTA GZELLA-PLATA                                                                                                      ;6820Z
34085335700034;MARTA GZELLA-PLATA                                                                                                      ;6820Z
34085335700113;MARTA GZELLA-PLATA                                                                                                      ;6820Z
63464134300028;PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE TOMASZ WICHEREK                                                                      ;4711Z
35162085400037;"Małgorzata Biernacka Przedsiębiorstwo Handlowo-Usługowe ""PLUS""                                                          ";4520Z
36383631000014;MARIUSZ WOJNOWSKI                                                                                                       ;4520Z
38700033600013;TOTU EDYTA ZACZKOWSKA-CYTOWSKA                                                                                          ;9602Z
01748034300024;SYNLAB POLSKA                                                                                                           ;8690E
01318737900037;DZ CORP Dariusz Zagrajek                                                                                                ;6820Z
01260128500020;Witold KRZYSZTOWSKI Wyrób Pieczątek                                                                                     ;3299Z
38702278600019;EWA JANIKIEWICZ                                                                                                         ;4711Z
26058754100029;"SUN RISE POWER  Anna Mazur ,   KWIACIARNIA ""AMELIA"" Anna Mazur                                                          ";3511Z
15089312500064;"BOGUMIŁA KULIG FIRMA ""OLIVIA""                                                                                           ";4719Z
06109245700042;Arkadiusz Omelczuk                                                                                                      ;6820Z
47320086000019;JANMED RAFAŁ JANISZEWSKI                                                                                                ;6820Z
36486659400018;Pracownia 11mm Andrzej Kępka                                                                                            ;9003Z
22003459500030;"NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ "" CENTRUM REHABILITACJI""                                                          ";8690A
19034286500063;"PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE ""TARTAK"" STANISŁAW SZYMERKOWSKI                                          ";1610Z
07291350000047;"LAZAR BEATA PUB PIZZERIA ""COLORATTA""                                                                                    ";5610A
73134104000043;PRZEDSIĘBIORSTWO HANDLOWE - KAMIŃSKA AGNIESZKA                                                                          ;4711Z
32102268000021;"LODZIARNIA ""CALYPSO"" MAGDALENA TRZCIŃSKA                                                                                ";5610A
36784613200031;EyeBrow & Lash Bar Ewelina Sawiniec                                                                                     ;9602Z
87122362000051;"P.H.U. ""LEXPO"" AGNIESZKA GARBACZ-REZMER                                                                                 ";6820Z
01571205100030;UNICUS KAROL WOŹNIAK                                                                                                    ;4511Z
51020939500078;Sklep Przemysłowy Leszek Grochowski                                                                                     ;4759Z
00373693100036;"JAN PAWLICKI 1.""JAN-POL"" Przedsiębiorstwo Handlowo-Usługowe 2.JUL-JAN s.c.3.wspólnik spółki cywilnej JAN-TOM            ";6820Z
38521637400017;KATARZYNA HENCEL                                                                                                        ;9602Z
36904849800010;Paulina Nowak                                                                                                           ;4799Z
36929904200015;MARIUSZ STRZESZKOWSKI KAFEN                                                                                             ;4791Z
47216400300026;"""POWSZECHNE TOWARZYSTWO BUDOWNICTWA SPOŁECZNEGO-POMORSKA"" - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W OPOLU     ";6820Z
19181775000029;Arkadiusz Szulc SZULC SERWIS                                                                                            ;3312Z
34033298300045;USŁUGI Medyczno- Pielęgniarskie DARIUSZ CHODYNA                                                                         ;8690B
36947408300010;pizzeria słodkie pomidory                                                                                               ;5610A
36951337000016;MotoMarket Wojciech Ramski                                                                                              ;4511Z
30159583600048;P.H.U. SEBPOL SEBASTIAN MACIASZEK                                                                                       ;4511Z
36109416800011;Wioletta Feszter                                                                                                        ;8690C
17003318600028;"GOERICK-OSTROWSKA JUSTYNA RESTAURACJA ""SPICHLERZ MARIACKI""                                                              ";5610A
17023861700058;"1. P.P.H.U. ED-AR Pachnik Artur 2. ""FOX spółka cywilna Pachnik Artur, Orłowski Zbigniew""                                ";6820Z
01630612300023;"""FIRMA HANDLOWO-BUDOWLANA ROBDAR""S.C.DARIUSZ I ROBERT PADUCH                                                            ";4778Z
36355825800015;CENTRUM POMOCY RODZINIE I SZKOLE ALICJA PACIEJEWSKA                                                                     ;8690E
12044169400025;DĘBSKI BARTOSZ FIRMA USŁUGOWA                                                                                           ;7990A
36374884600019;P.H.U. Ireneusz Jałowiecki                                                                                              ;5610A
36212166000017;działka nr 31/14 przy ul. Wolanowskiej                                                                                  ;4519Z
24334823200026;KATARZYNA HABLE                                                                                                         ;8690C
38705810000015;DREAM4SKIN Małgorzata Studzińska                                                                                        ;9602Z
30014332200071;Przedsiębiorstwo Wielobranżowe Klupś Agnieszka                                                                          ;4711Z
10079363500066;"P.H.U. ""Pączek"" Mariusz Pastusiak                                                                                       ";4781Z
93265256300168;ADVENTURA Gołębiowski Wojciech                                                                                          ;6820Z
36363557900015;"F.H.U. ""KJ"" ADRIAN JOBCZYŃSKI                                                                                           ";4799Z
36595006100014;MAT-MAR Marcin Matusik                                                                                                  ;4711Z
38142583300014;RevitaCare Hair SPA                                                                                                     ;9602Z
51135345000022;"ANETTA DŁUSKA-PIETRAS ""APM"" PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE                                                          ";4759Z
00068424000036;"MIEJSKI OŚRODEK SPORTU I REKREACJI W PILE OŚRODEK WYPOCZYNKOWY ""PIASZCZYSTE""                                            ";6820Z
15180565000171;"Przedsiębiorstwo Handlowo-Usługowe ""SMERFETKA"" Wiesława Golba-Kałużna                                                   ";4711Z
36434900200012;Wojt-Drew Wojciech Wyłupek                                                                                              ;1623Z
69180090000044;motocykle.rzeszow.pl Krzysztof Czajka                                                                                   ;4540Z
03022519300030;Ciężki Zenon                                                                                                            ;4120Z
02178122500040;CHATKA SURYKATKA Anna Zacharewicz                                                                                       ;4799Z
49197405500080;SUPER MARKET RAJSKI SPÓŁKA JAWNA                                                                                        ;4711Z
81183714400048;ART-DOM Ines Sucharska                                                                                                  ;4719Z
33033997000032;"PPHU ""AGROMARKET"" IMPORT-EXPORT JAN MAC                                                                                 ";4941Z
34129202700021;PHU AUTO NAPRAWA Grzegorz Kawecki                                                                                       ;4520Z
34085335700106;MARTA GZELLA-PLATA                                                                                                      ;6820Z
34085335700120;MARTA GZELLA-PLATA                                                                                                      ;6820Z
95106515000028;Piotr Magdziak - „MAGPOL”                                                                                               ;4941Z
08040726800022;PIELĘGNIARSKA OPIEKA DŁUGOTERMINOWA                                                                                     ;8690C
59007584800023;"RYSZARD PIENIĄŻEK - Firma Handlowo Usługowa ""ALICJA""                                                                    ";4711Z
32081798600055;"PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE CENTRUM ""B.E.H.O."" URSZULA LIPIŃSKA                                      ";4759Z
01049115400027;"""PERUKARSTWO-BOGADAR"" BOŻENA KAMIŃSKA-SZUWAR                                                                            ";4799Z
15198459700020;"PRZEDSIĘBIORSTWO HANDLOWO-BUDOWLANE ""INX-BUD""ŚLĘZAK JAROSŁAW                                                            ";4711Z
36140274700010;F.H. Aleksandra Staniszewska                                                                                            ;7420Z
27817954900061;WALANUS-PAJĄK JULIA CERAMO GLIWICE                                                                                      ;6820Z
27176257600023;"Firma Handlowo-Usługowa ""Auto-Usługi"" Adam Króliczek                                                                    ";4519Z
25064082300059;PHU PIOTR CHILIŃSKI                                                                                                     ;4520Z
34123249100023;"FIRMA HANDLOWO - USŁUGOWA ""MAJA"" Dorota Barnaś                                                                          ";4120Z
38707026500010;Arkadiusz Rumiński                                                                                                      ;4711Z
14037350500029;Centrum Medyczno-Rehabilitacyjne Sorno                                                                                  ;8690A
29018229800023;ZAKŁAD BLACHARSKO-BETONIARSKI WILK JAN                                                                                  ;4399Z
36362641600014;Usługi Pielęgniarskie Beata Kumke                                                                                       ;8690C
14643037400023;ART LIVE Sandra Domagalska                                                                                              ;5911Z
35014651100022;BOGUSŁAW PĘCARSKI                                                                                                       ;4711Z
89041681400040;Kiosk                                                                                                                   ;4719Z
36107747700012;Agencja Kreatywna Webminds.pl Daniel Kurzyński                                                                          ;4791Z
22087242200045;Aster Aleksandra Bojanowska                                                                                             ;5610A
38493218600010;M&M Mariola Olszko                                                                                                      ;4791Z
53218940000030;TYSOWSKI ROBERT R - MED                                                                                                 ;8690A
34076099200020;JAWORSKI DAMIAN MAT - BUD                                                                                               ;5210B
34085335700041;MARTA GZELLA-PLATA                                                                                                      ;6820Z
47235107600026;Grażyna Malinowska FRYZJERSTWO DAMSKIE                                                                                  ;9602Z
14737831600026;REX MEDICA SPORT                                                                                                        ;8690E
01286579400046;LASOTA CONSULTING HANNA LASOTA                                                                                          ;7410Z
01031350100110;Jerzy Petz Mediq Niepubliczny Zakład Opieki Zdrowotnej                                                                  ;6820Z
18087237000041;FHU BEFAST URSZULA AUGUSTYN                                                                                             ;4941Z
36234539400010;KAWATEE Izabela Noga                                                                                                    ;5610A
30129406900057;"""PRAKTYKA II"" NZOZ, GABINET DIETETYCZNY - GRAŻYNA GORZKOWSKA-URBANIAK                                                   ";8690C
87044638600065;FIRMA HANDLOWO-USłUGOWA Mirosław Kopistecki                                                                             ;5610A
24126607900080;P.H.U.T GOJA S.C. Joanna Wadowska Mariusz Wadowski                                                                      ;4711Z
14050376400039;WOMAHOTE WOJCIECH PRZESMYCKI                                                                                            ;6820Z
14638885000050;WESKAD-BUD Kamil Wąsiewicz                                                                                              ;4120Z
19058466300026;Greenpoint Robert Szulc                                                                                                 ;5610A
34069643200026;"""HABER"" PIĄTKOWSKI KRZYSZTOF                                                                                            ";4791Z
06016525000036;MATI Małgorzata Mazur                                                                                                   ;5610A
12154545000049;Elżbieta Sowa PUNKT SPRZEDAŻY DETALICZNEJ                                                                               ;4799Z
19090996400037;AR FOTO TECHNIKA ANDRZEJ KAROLAK                                                                                        ;7420Z
15099437500024;"Zakład Usługowo-Handlowy ""AUTO-AUGUSTYNIAK"" Artur Augustyniak                                                           ";4520Z
15157318000028;PPHU RF MONTER MARCIN KITA                                                                                              ;4520Z
36372591100015;Cado Katarzyna Dobiesz                                                                                                  ;5610A
10057139500029;"FIRMA PRODUKCYJNO HANDLOWO USŁUGOWA ""VERA MEBLE"" PIOTR LIS                                                              ";4791Z
38685151700020;MILOWY KROK AMBULATORIUM                                                                                                ;8690E
36219253600013;TRANSPORT KRAJOWY I ZAGRANICZNY ANET-TRANS Aneta Szczygieł                                                              ;4941Z
36484737800027;ELŻBIETA ŻYTYŃSKA-CHWAST CENTRUM WSPARCIA FRENEZJA                                                                      ;8690E
36542780400010;Grzegorz Bobola                                                                                                         ;4339Z
36381619200014;ROBERT GARAGE AUTO-MECHANIKA Robert Sobczyk                                                                             ;4520Z
36508437900011;Installer Arkadiusz Klocek                                                                                              ;9329B
24030334100034;"PPHU ""SOSNA"" Aleksandra Sosna                                                                                           ";4759Z
24118942700042;WERONIKA CHRAPEK                                                                                                        ;8690E
57086211900045;"""MOT-BAS II"" Wojciech Basarewski                                                                                        ";6820Z
02146008200020;GRUBIZNA WOJCIECH AUTO-HANDEL-WGW                                                                                       ;9602Z
00217246100114;INTRA Stanisław Bogdański                                                                                               ;6820Z
38226486900015;Przedsiębiorstwo Handlowo-Usługowe Grażyna Kowalska                                                                     ;4941Z
97035028100045;"Zakład Wielobranżowy ""RO-MA-DO"" Handel Produkcja Usługi Włodzimierz Kaczor                                              ";1624Z
27811269200027;BUDO-KAN  SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W BYTOMIU                                                     ;4120Z
27353637000026;"""GIGANT II"" ALINA, MAREK WOJEWÓDKA SPÓŁKA JAWNA                                                                         ";4711Z
38193060800020;Hunted Brick Wojciech Jaskółowski                                                                                       ;5911Z
53153469600110;"Arnold Dombek ""ARES""                                                                                                    ";6820Z
29240534800050;"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""JANUS"" JANUSZ BOŚ                                                                       ";4791Z
05007910300037;Mechanika Blacharstwo Lakiernictwo Pojazdowe Waldemar Danieluk                                                          ;4520Z
24076998000028;"KRZYWOŃ BEATA PHU ""GALASSIA""                                                                                            ";4719Z
27644415401552;BOGUSŁAW ZWIERZCHOWSKI CENTRALNY OŚRODEK SZKOLEŃ TEZAURUS                                                               ;5610A
37000373000023;Magazyn Surowców                                                                                                        ;5210B
01562666000026;PIOTR KOC AUTO-SPORT-SERVIS                                                                                             ;4520Z
24163353700020;KRZYSZTOF SARWA AUTO-SERWIS                                                                                             ;4520Z
00392337200085;"JERZY PRZEPIÓRSKI PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE ""JURSKI""                                               ";6820Z
38678410000017;Lokal franczyzowy Metrohouse S.A. Oddział Szczecin / Majster Plus Krzysztof Gocałek                                     ;6831Z
43026094600062;"FIRMA WIELOBRANŻOWA ""MAXEL"" TOMASZ JÓŹWIAK                                                                              ";4711Z
36126512100027;Usługi kosmetyczno-groomerskie Małgorzata Chlebek                                                                       ;9602Z
71034896600027;"BOŻENA CHABERSKA FIRMA HANDLOWA ""CHARPOL""                                                                               ";6820Z
36295206500010;JUST HOME JUSTYNA KAMIŃSKA                                                                                              ;6619Z
36316422300033;USŁUGI PIELĘGNIARSKIE EWA SZCZECH                                                                                       ;8690C
36230523600025;Firma Handlowo-Usługowa GLOBUS Olga Malinowska-Janusz                                                                   ;4799Z
93291541300023;M.D. CAR - STANISŁAWA DOBKOWSKA                                                                                         ;4511Z
00347202400226;"GĘBICKI WITOLD 1.PHU ""WITPOL"" 2.PANAMERA SPÓŁKA CYWILNA WITOLD GĘBICKI, JACEK KANIA                                     ";4779Z
10053360900039;BLUE FOCUS Jarosłąw Szot                                                                                                ;7420Z
10068202500023;JULA  PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE JERZY GOLIS                                                        ;1413Z
35687007600045;"Katarzyna Okręglicka ""VIS""                                                                                              ";6499Z
18030532300021;FIZJOTERAPIA RAFAŁ SŁONIAK                                                                                              ;8690A
14221350400048;PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE ANETA CZAPLICKA                                                          ;5610A
14625175000020;PROFORMO LUDMIŁA BERUS                                                                                                  ;5911Z
36408366200014;MATEUSZ MICHALSKI                                                                                                       ;9319Z
63109814000034;"""REHLUX"" ZAKŁAD REHABILITACJI LECZNICZEJ                                                                                ";8690A
36363429000014;IMPERIUM URODY kosmetolog Karolina Wojak                                                                                ;9602Z
38397701100028;WIPO SARA MARZEC                                                                                                        ;4711Z
32084161900022;KAROLINA ĆWIEK UNI - PLAST                                                                                              ;2229Z
22038401300060;"1. ADAM ORNAL F.H.U. ""ADMOR"" 2. SKLEP SPOŻYWCZO-PRZEMYSŁOWY                                                             ";4711Z
85264231600038;SKALIŃSKI MARCIN TELEKOM                                                                                                ;6120Z
35091040300014;ANDRZEJ HACZYK FIRMA USŁUGOWO-HANDLOWA                                                                                  ;4520Z
10084241100023;PRALNIA POD RÓŻĄ Anna Różańska                                                                                          ;9601Z
43045263406880;STOKROTKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ                                                                       ;4711Z
26075875800020;STUDIO FRYZUR Agnieszka Zdzymira                                                                                        ;9602Z
36358310900010;Indywidualna Praktyka Położnicza Martyna Mączka                                                                         ;8690C
14097098000060;MARIUSZ MACIĄGA PETROSTAR                                                                                               ;4531Z
01609576100037;Eiger Maciej Gozdowski                                                                                                  ;4339Z
36376495700010;PROMUS JAROSŁAW MUSZEL                                                                                                  ;4759Z
87110455800036;USŁUGI MEDYCZNO - PIELĘGNIARSKIE SABINA CIESZYŃSKA                                                                      ;8690C
24015364000196;"PHU ""SMERF"" SŁAWOMIR GOLBA                                                                                              ";4711Z
07062283300090;"Agnieszka Łozińska Firma Handlowa ""ABV""                                                                                 ";5610A
81112468000035;PRZEDSIĘBIORSTWO WIELOBRANŻOWE ROBERT MISZTAL                                                                           ;9602Z
