text;category;label
Piotr i Paweł olej ostropestowy ;Pozostałe oleje jadalne;01.1.5.4
Wafle Sonko w czekoladzie deserowej ;Pozostałe wyroby piekarskie;01.1.1.4
Czereśnie - Lokalny Dostawca (POLSKA);Owoce świeże lub chłodzone;01.1.6.1
karp dzwonko świeży;Ryby świeże lub chłodzone;01.1.3.1
Serek wiejski bio ;Sery i twarogi;01.1.4.5
Bakalland - Figi suszone;Owoce suszone i orzechy;01.1.6.3
Cukierki galaretki  Fresh & Fruity kwaśne ;Wyroby cukiernicze;01.1.8.4
Wątroby z kurczaka;Podroby i przetwory podrobowe;01.1.2.6
Tchibo For Black and White Kawa rozpuszczalna 200 g;Kawa;01.2.1.1
Kucharek Przyprawa do potraw 1 kg;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Herbapol Zielnik Polski Herbatka ziołowa koper włoski 40 g (20 x 2 g);Herbata;01.2.1.2
Smalec z wędzonym boczkiem;Pozostałe tłuszcze zwierzęce;01.1.5.5
Kuropatwa czerwona mrożona;Pozostałe mięsa;01.1.2.5
Kotanyi - Cukier z prawdziwą wanilią;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Bio Planet - Figi suszone;Owoce suszone i orzechy;01.1.6.3
Ogórki gruntowe;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Szaszłyczki Espuna drobiowe z cytryną;Pozostałe przetwory mięsne;01.1.2.8
Żywiec Zdrój Smako-Łyk o smaku brzoskwini 1,5 l;Napoje orzeźwiające;01.2.2.2
Sery z Goliszewa Ser Dobrodziej w plastrach;Sery i twarogi;01.1.4.5
Dawtona - Sos typu ketchup o smaku curry bez konserwantów;Sosy, przyprawy;01.1.9.1
Tesco Żurawina słodzona suszona 400 g;Owoce suszone i orzechy;01.1.6.3
Podudzie z kurczaka;Mięso drobiowe;01.1.2.4
Mięta świeża;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Hummus z suszonymi pomidorami ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Brokuły różyczki Piotr i Paweł;Warzywa mrożone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.2
Dr. Oetker Galaretka krystaliczna smak cytrynowy 77 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Płatki Lion Nestle ;Płatki śniadaniowe;01.1.1.7
Tesco Finest Skarby Regionów Szynka z młodego wieprza;Wędliny;01.1.2.7
Ser Genuini Cabre tarty ;Sery i twarogi;01.1.4.5
Enfamil - Premium 4 mleko następne powyżej 2 roku życia;Żywność dla dzieci;01.1.9.3
Prymat - Musztarda francuska;Sosy, przyprawy;01.1.9.1
Mu! Śmietanka UHT 12% 500 ml;Pozostałe produkty mleczne;01.1.4.6
Danone ale Pitny Truskawka poziomka Napój jogurtowy 290 g;Jogurt;01.1.4.4
Auchan - Kwas cytrynowy;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Jogurt jogobella standard bez laktozy ;Jogurt;01.1.4.4
Monin - Bitter - Skoncentrowany napój do rozcieńczania.;Napoje orzeźwiające;01.2.2.2
Bracia Koral - Lody jak dawniej bakaliowe;Lody;01.1.8.5
Morliny - Kiełbasa Śląska wieprzowa, wędzona;Wędliny;01.1.2.7
Kucharek - Sos do pieczeni ciemny;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Knorr Voyage Fromage Danie makaron 69 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Gzik Wielkopolski ;Sery i twarogi;01.1.4.5
Przyprawa do ryb ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Mlekovita - Mleko Polskie 2% świeże;Mleko świeże niskotłuszczowe;01.1.4.2
Przyprawa zioła dalmatyńskie Kotanyi ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Winiary - Barszcz czerwony Ekspresowa Zupa Instant.;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Tesco Ryż długoziarnisty biały 1 kg (8 x 125 g);Ryż;01.1.1.1
Piątnica - Jogurt Piątuś typu greckiego truskawkowy;Jogurt;01.1.4.4
nerkówka barania;Mięso baranie i kozie;01.1.2.3
Doritos - Hot Corn chipsy kukurydziane o smaku ostrej papryk...;Chipsy;01.1.7.5
Morliny - Smalec wieprzowy wyborowy;Pozostałe tłuszcze zwierzęce;01.1.5.5
Musztarda Maille Miodowa ;Sosy, przyprawy;01.1.9.1
Tesco Krakersy serowe 200 g;Pozostałe wyroby piekarskie;01.1.1.4
Wawel Czekolada nadziewana karmelowa 400 g (4 x 100 g);Czekolada;01.1.8.3
Kaszanka z dzika;Podroby i przetwory podrobowe;01.1.2.6
Konfitura malina z cukrem trzcinowym bio ;Dżemy, marmolady i miód;01.1.8.2
Cukier Królewski Cukier trzcinowy 1 kg;Cukier;01.1.8.1
jabłka szampion;Owoce świeże lub chłodzone;01.1.6.1
Organiczne kakao w proszku;Kakao i czekolada w proszku;01.2.1.3
Seko - Pasta łososiowa aromatyzowana dymem wędzarniczym;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Melvit - Kasza jęczmienna  mazurska;Mąka i pozostałe zboża;01.1.1.2
Kiełbasa śląska delikatesowa Viando;Wędliny;01.1.2.7
Morliny Kiełbasa morlińska z piersi kurczaka;Wędliny;01.1.2.7
Intenson Erytrytol;Sztuczne substytuty cukru;01.1.8.6
Edeka G&g Słodzik w Płynie 300 ml;Sztuczne substytuty cukru;01.1.8.6
Saga Herbatka owocowa o smaku owoce leśne 34 g (20 torebek);Herbata;01.2.1.2
Erytrytol 1 kg - Big Nature - Erytrol 1000 g;Sztuczne substytuty cukru;01.1.8.6
Tesco Polskie Wędliny Salceson gospodarza;Wędliny;01.1.2.7
Lipton Herbata czarna o smaku owoców jagodowych 36 g (20 torebek);Herbata;01.2.1.2
Maniok cassava z Kostaryki 1 kg;Pozostałe warzywa bulwiaste i przetwory z warzyw bulwiastych;01.1.7.6
Tesco Wiśnie bez pestek 450 g;Owoce mrożone;01.1.6.2
Nestle Lion Płatki śniadaniowe 500 g;Płatki śniadaniowe;01.1.1.7
Zott Natur Tzatziki Sos 200 g;Sosy, przyprawy;01.1.9.1
kangur - noga z biodrówką, z kością: do pieczenia, smażenia;Pozostałe mięsa;01.1.2.5
Chipsy Crunchips x-cut ser i cebula ;Chipsy;01.1.7.5
Rolnik - Gruszki w occie;Przetwory owocowe;01.1.6.4
Sok 100% Leon jabłkowy ;Soki owocowe i warzywne;01.2.2.3
Góralki - nagie smak wanilii;Pozostałe wyroby piekarskie;01.1.1.4
MyFood - Krewetka koktajlowa Metapenaeus monoceros kaliber ...;Owoce morza mrożone;01.1.3.4
Bonduelle Kukurydza Złocista z chili 165 g;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Zupa Knorr borowikowa z cebulką menu ze smakiem ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Jacobs - Kawa rozpuszczalna Crema Gold z 100% ziaren kawy;Kawa;01.2.1.1
Dr. Oetker - Słodka Chwila budyń czekoladowy duet czekolada i w...;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Smak - Cebulka marynowana;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Smoothie great jabłko,marchew,burak ;Przetwory owocowe;01.1.6.4
szczypiorek cienki pęk;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Łaciate - Mleko UHT 0,5% bez GMO;Mleko świeże niskotłuszczowe;01.1.4.2
Kawa Nescafe Dolce Gusto Espresso Intenso ;Kawa;01.2.1.1
Kawa satino espresso ;Kawa;01.2.1.1
Bakalland Figi duże owoce 100 g;Owoce suszone i orzechy;01.1.6.3
Makaron Corticella ryżyk ;Makarony i produkty makaronowe;01.1.1.6
Wawel Orzeźwiające Karmelki nadziewane 120 g;Wyroby cukiernicze;01.1.8.4
Merci - Bombonierka brown;Czekolada;01.1.8.3
Naturalna woda kokosowa Vigo z mango i cytryną ;Soki owocowe i warzywne;01.2.2.3
Kubuś Mus + Jogurt banan truskawka jabłko 80 g;Jogurt;01.1.4.4
Nasze domowe - Konfitura z czarnych porzeczek niskosłodzona;Dżemy, marmolady i miód;01.1.8.2
Uncle Ben's - ryż długoziarnisty w torebkach 8x125g;Ryż;01.1.1.1
galaretka z indyka;Pozostałe przetwory mięsne;01.1.2.8
Ben & Jerry's - Peanut Butter Cookies lody waniliowe z ciastkami o...Â czekoladowym;Lody;01.1.8.5
Milka Mmmax Czekolada mleczna Whole Hazelnuts 270 g;Czekolada;01.1.8.3
Dr. Oetker Galaretka o smaku agrestowym 77 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Czekolada do picia Blue Drop 1kg;Kakao i czekolada w proszku;01.2.1.3
Huzar Miód pszczeli nektarowy wielokwiatowy 2,1 kg;Dżemy, marmolady i miód;01.1.8.2
Tesco Krewetki w oleju 150 g;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Kawa Nescafe 3in1 Brown Sugar rozpuszczalna ;Kawa;01.2.1.1
Pizza Guseppe Chicken Thai ;Pizza i inne półprodukty mączne;01.1.1.5
E. Wedel - 80% czekolada mocno gorzka;Czekolada;01.1.8.3
Dr. Oetker Budyń smak toffi 40 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Herbata Loyd Tea zielona liść;Herbata;01.2.1.2
Łaciate Mleko UHT 0,5% 1 l;Mleko świeże niskotłuszczowe;01.1.4.2
Kaszanka Królewska z Niewieścina;Podroby i przetwory podrobowe;01.1.2.6
Morliny Berlinki Kiełbasa z indyka 250 g;Wędliny;01.1.2.7
Winiary Majonez Omega 3:6 250 ml;Sosy, przyprawy;01.1.9.1
Tesco Chleb żytni owsiany 400 g;Pieczywo;01.1.1.3
Napój Kubuś play marchew-czereśnia-limetka ;Napoje orzeźwiające;01.2.2.2
Herbatka Vitax Inspirations Żurawina & Malina ziołowo-owocowa 20*2g ;Herbata;01.2.1.2
Bebilon junior 5 z pronutra ;Żywność dla dzieci;01.1.9.3
Auchan - Dżem morelowy 65% owocu;Dżemy, marmolady i miód;01.1.8.2
Jacobs Espresso Ristretto Kawa mielona w kapsułkach 52 g (10 sztuk);Kawa;01.2.1.1
Teekanne Herbata zielona o smaku cytrynowym 66 g (40 x 1,65 g);Herbata;01.2.1.2
Kawa mielona Pluton gold ;Kawa;01.2.1.1
Serce wieprzowe;Podroby i przetwory podrobowe;01.1.2.6
Świeże jabłka LIGOL 1 kg POLSKIE od rolnika;Owoce świeże lub chłodzone;01.1.6.1
Musztarda Pegaz Stołowa;Sosy, przyprawy;01.1.9.1
San - Łakotki deserowe 168 g;Pozostałe wyroby piekarskie;01.1.1.4
Schweppes - Orange Napój gazowany o smaku pomarańczowym 6 x 33...;Napoje orzeźwiające;01.2.2.2
Drożdże Babuni ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Kiełki pszenicy ;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
GRAAL Filety z makreli w wodzie z cytryną i pieprzem 110 g;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Tesco Spark Gazowany napój energetyzujący o smaku tropikalnym 250 ml;Napoje orzeźwiające;01.2.2.2
Tesco Serek twarogowy napowietrzany o smaku suszonych kurek 150 g;Sery i twarogi;01.1.4.5
Kawa ziarnista pluton gold ;Kawa;01.2.1.1
Oliwki greckie z tzatzikami w oleju Midas;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Łosoś bio ;Ryby i owoce morza suszone, wędzone lub solone;01.1.3.5
Koral Kolorowe Lato Lody śmietankowo-truskawkowo-czekoladowe 1,2 l;Lody;01.1.8.5
Milka - Chips Ahoy czekolada z kawałkami herbatników z cze...;Czekolada;01.1.8.3
KotĂˇnyi Mieszanka przypraw curry 27 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Sokołów Na kanapkę Szynka gotowana 120 g;Wędliny;01.1.2.7
Kubuś 100% Sok banan marchew jabłko 300 ml;Soki owocowe i warzywne;01.2.2.3
Napój izotoniczny Powerade cytrusowy ;Napoje orzeźwiające;01.2.2.2
Mięso - koźlęcina;Mięso baranie i kozie;01.1.2.3
Paluszki Beskidzkie z sezamem ;Pozostałe wyroby piekarskie;01.1.1.4
Przepona wołowa 1 kg;Podroby i przetwory podrobowe;01.1.2.6
Piątnica Milandia Ogród Smaków Ser twarogowy z mascarpone naturalnie śmietankowy 150 g;Sery i twarogi;01.1.4.5
Indykpol Jedynki Parówki z serem 200 g;Wędliny;01.1.2.7
Figaro Hiszpańskie oliwki zielone drylowane 920 g;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Tesco Jaja świeże M 10 sztuk;Jaja;01.1.4.7
Grzanki Bruschette Maretti pomidory, oliwki i oregano;Pozostałe wyroby piekarskie;01.1.1.4
Hortex - Marchew z groszkiem;Warzywa mrożone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.2
Tymbark Nektar żółte owoce 1 l;Soki owocowe i warzywne;01.2.2.3
Cukierki Wawel trufle w czekoladzie;Wyroby cukiernicze;01.1.8.4
Napój Disney Mickey Mouse musujący bezalkoholowy;Napoje orzeźwiające;01.2.2.2
DecoMorreno Hot Dark gorąca gorzka czekolada 25 g;Kakao i czekolada w proszku;01.2.1.3
Lasagne Cannelloni ze szpinakiem Frosta;Makarony i produkty makaronowe;01.1.1.6
Chleb słowiański 370 g;Pieczywo;01.1.1.3
Intenson Erytrytol Słodzik 1kg4.866;Sztuczne substytuty cukru;01.1.8.6
Jogurt Activia do picia kiwi gruszka len ;Jogurt;01.1.4.4
mikrozioła groszek wąsaty;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Gellwe Proszek do pieczenia 30 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Oskroba Hot-Dog Pieczywo pszenne 240 g (4 sztuki);Pieczywo;01.1.1.3
Albeni - Round ciastka z karmelem w mlecznej czkeoladzie;Pozostałe wyroby piekarskie;01.1.1.4
Surówka Piotr i Paweł Meksykańska z kukurydzą ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Smakmak Flaki wołowe krojone 900g;Podroby i przetwory podrobowe;01.1.2.6
Pastella turecka z kurczakiem i pomidorami ;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
morela - szt;Owoce świeże lub chłodzone;01.1.6.1
Mięso z nutrii;Pozostałe mięsa;01.1.2.5
Kotanyi - Sól różowa niejodowana;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Prymat Mieszanka do ogórków konserwowych 40 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Tivoli - Blueberry&Coconut ciastka borówkowo-kokosowe;Pozostałe wyroby piekarskie;01.1.1.4
Borrelli Sałatka z owoców morza;Owoce morza świeże lub chłodzone;01.1.3.3
Graal - Filety z makreli bez skóry w sosie pomidorowym;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Tesco Kakao w proszku o obniżonej zawartości tłuszczu 100 g;Kakao i czekolada w proszku;01.2.1.3
Aakerman Czarny kawior z ikry gromadnika 100 g;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
rzepa biała;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Tesco Finest Parmigiano Reggiano DOP Półtłusty ser twardy 170 g;Sery i twarogi;01.1.4.5
Sos Winiary pieczeniowy jasny;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Dan Cake - Mini mufinki czekoladowe;Pozostałe wyroby piekarskie;01.1.1.4
Amora - Musztarda Dijon;Sosy, przyprawy;01.1.9.1
Tesco Mint and Apple Herbatka ziołowo-owocowa 30 g (20 torebek);Herbata;01.2.1.2
Tesco Kefir truskawka 450 g;Pozostałe produkty mleczne;01.1.4.6
Ciastka maślane ;Pozostałe wyroby piekarskie;01.1.1.4
Tesco Pomidorki koktajlowe 300 g;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
rzepa czarna na wagę;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Beskidzkie - Paluszki delikatesowe;Pozostałe wyroby piekarskie;01.1.1.4
KAWAŁKI POLĘDWICY Z CZARNIAKA MROŻONE 225 g (200 g) - WILDZEIT;Ryby mrożone;01.1.3.2
CAFE MICHEL Kakao ekologiczne (200g) - BIO Fair Trade;Kakao i czekolada w proszku;01.2.1.3
Przecier Rolnik z ogórków kwaszonych;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Tesco Warzywa na patelnię 750 g;Gotowe dania;01.1.9.4
Gerber - Deser jabłka i morele;Żywność dla dzieci;01.1.9.3
Wafle wieloziarniste slim z pestkami dyni ;Pozostałe wyroby piekarskie;01.1.1.4
Hortex Bukiet warzyw kwiatowy 450 g;Warzywa mrożone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.2
Boczek surowy;Mięso wieprzowe;01.1.2.2
koper włoski;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
z Kruszwicy - Mleczna margaryna do pieczenia, gotowania i smażen...;Margaryna i inne tłuszcze roślinne;01.1.5.2
Intenson - Erytrol w proszku. Słodzik stołowy na bazie erytrytolu;Sztuczne substytuty cukru;01.1.8.6
Bebilon - Mleko Nutricia 3  po 1 roku życia;Żywność dla dzieci;01.1.9.3
Hortex - śliwki bez pestek;Owoce mrożone;01.1.6.2
Danone - Actimel Truskawkowy 8x100g;Pozostałe produkty mleczne;01.1.4.6
Papryka peperoni nadziewana serem świeżym;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Olej Suriny z Ryżu ;Pozostałe oleje jadalne;01.1.5.4
Melissa Primo Gusto - Makaron kolanka;Makarony i produkty makaronowe;01.1.1.6
Taurus Kiełbaski białe grillowe bez konserwantów 300 g;Wędliny;01.1.2.7
Sonko - słone wafle ryżowe;Pozostałe wyroby piekarskie;01.1.1.4
Napój Hortex jabłko-wiśnia ;Napoje orzeźwiające;01.2.2.2
Danie Penne ze szpinakiem w sosie serowym ;Makarony i produkty makaronowe;01.1.1.6
Lindt Excellence 85% Cocoa Czekolada ciemna 100 g;Czekolada;01.1.8.3
Interfood - Wafle kakaowe w masie czekoladowej;Pozostałe wyroby piekarskie;01.1.1.4
Pasztet z indyka . ;Pozostałe przetwory mięsne;01.1.2.8
Polski Cukier Cukier trzcinowy kostka 500 g;Cukier;01.1.8.1
Oliwki Figaro zielone z migdałami;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Bogmar Traper - Odnóża ośmiornicy;Owoce morza mrożone;01.1.3.4
jabłka szara reneta;Owoce świeże lub chłodzone;01.1.6.1
Kamis - Specialite sól morska ziołowa młynek;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Jamar - Sos do spaghetti warzywny;Sosy, przyprawy;01.1.9.1
Szubryt - Smalec z mięsem i cebulką;Pozostałe tłuszcze zwierzęce;01.1.5.5
Krzyś kaszanka;Podroby i przetwory podrobowe;01.1.2.6
Terrina z królika 180g.;Pozostałe przetwory mięsne;01.1.2.8
Auchan - Eco 100% Arabica kawa palona ziarnista;Kawa;01.2.1.1
Sos pomidorowy Międzychód ;Sosy, przyprawy;01.1.9.1
Dr. Oetker - Pizza Rigga z pieczarkami;Pizza i inne półprodukty mączne;01.1.1.5
Vegeta Natur Przyprawa warzywna do potraw 75 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Ser manchego ;Sery i twarogi;01.1.4.5
Makar - Quinoa - komosa ryżowa;Mąka i pozostałe zboża;01.1.1.2
Auchan - Serek homogenizowany o smaku waniliowym;Pozostałe produkty mleczne;01.1.4.6
Nasze Wędliny Kiełbasa śląska 1 kg;Wędliny;01.1.2.7
Auchan - Mozzarella Ser kulka;Sery i twarogi;01.1.4.5
Czekolada Lindt Excellence Dark 70%  Cocoa ;Czekolada;01.1.8.3
Oskroba - Chleb wieloziarnisty;Pieczywo;01.1.1.3
Herbata Sir Williams royal taste queen of raspberries 12 szt ;Herbata;01.2.1.2
Dr. Oetker - Żelatyna spożywcza;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Oreo Original Ciastka kakaowe z nadzieniem o smaku waniliowym 110 g;Pozostałe wyroby piekarskie;01.1.1.4
Nektar Teso truskawkowy;Soki owocowe i warzywne;01.2.2.3
Auchan - Margaryna Doskonała 70% do smażenia i smarowania;Margaryna i inne tłuszcze roślinne;01.1.5.2
San - Biszkopty lady fingers;Pozostałe wyroby piekarskie;01.1.1.4
Olej Bartek uniwersalny rzepakowy;Pozostałe oleje jadalne;01.1.5.4
mrożona ryba maślana;Ryby mrożone;01.1.3.2
Kiełbasa wiejska ;Wędliny;01.1.2.7
Fito Apteka - Malwa Cukier - Norma;Herbata;01.2.1.2
Ehrmann - Deser mleczny o smaku czekolady z wysoką zawartośc...;Pozostałe produkty mleczne;01.1.4.6
Mango - Ready to Eat duże około 600g;Owoce świeże lub chłodzone;01.1.6.1
Sante Crunchy Chrupiące płatki klasyczne 350 g;Płatki śniadaniowe;01.1.1.7
Bakalland - Popcorn serowy;Pozostałe produkty zbożowe;01.1.1.8
Oshee - Napój izotoniczny Zero Multifruit;Napoje orzeźwiające;01.2.2.2
Krasnystaw Zsiadłe mleko z Krasnegostawu 400 g;Pozostałe produkty mleczne;01.1.4.6
Por ;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
SuperFish Bio Łosoś wędzony na zimno 100 g;Ryby i owoce morza suszone, wędzone lub solone;01.1.3.5
MROŻONY ŁUPACZ FILET;Ryby mrożone;01.1.3.2
Grycan Lody stracciatella 1100 ml;Lody;01.1.8.5
szczypiorek doniczka 1 szt;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Kiełki na patelnię ;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Tesco Sok 100% owocowo-warzywny częściowo z zagęszczonych soków i przecierów 1 l;Soki owocowe i warzywne;01.2.2.3
Lubella Mafaldine Corte Makaron Wstążki cięte 500 g;Makarony i produkty makaronowe;01.1.1.6
Nestle - Kleik ryżowy powyżej 4 miesięcy;Żywność dla dzieci;01.1.9.3
Tesco Pierniki w czekoladzie z nadzieniem owocowym 200 g;Pozostałe wyroby piekarskie;01.1.1.4
Hortex - Nektar czarna porzeczka;Soki owocowe i warzywne;01.2.2.3
Delecta Owocowy kubek Kids Kisiel marchew-banan 31 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Napój Herbaciany wieloowocowy instant;Napoje orzeźwiające;01.2.2.2
Kiełbasa z Liszek ;Wędliny;01.1.2.7
Salami w obsypce Texas ;Wędliny;01.1.2.7
Jacobs Crema Kawa rozpuszczalna 200 g;Kawa;01.2.1.1
Kasza gryczana palona Bio ;Mąka i pozostałe zboża;01.1.1.2
Czekolada Milka z orzechami;Czekolada;01.1.8.3
Tesco Finest Oliwa z oliwek z Toskanii 500 ml;Oliwa z oliwek;01.1.5.3
Cisowianka - Perlage Naturalna woda mineralna, wysokonasycona dwutlenkiem węgla;Wody mineralne lub źródlane;01.2.2.1
Mieszanka owoców morza. ;Owoce morza mrożone;01.1.3.4
Masło ekstra ekologiczne ;Masło;01.1.5.1
JABŁKA ŚWIEŻE BIO (GOLDEN-POLSKA) (około 1,00 kg);Owoce świeże lub chłodzone;01.1.6.1
Mieszanka Studencka Piotr i Paweł;Owoce suszone i orzechy;01.1.6.3
Zupa flaki Amino ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Mokate Caffetteria Cappuccino o smaku waniliowym 18 g;Kawa;01.2.1.1
Bensdorp Green Label czekolada instant 1kg;Kakao i czekolada w proszku;01.2.1.3
Monster Munch Chrupki ziemniaczane o smaku pizzy 100 g;Chipsy;01.1.7.5
Fix Knorr spaghetti 4 sery z brokułami;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Soti Natural - Napój zaparzona trawa cytrusowa i mięta bez cukrów;Napoje orzeźwiające;01.2.2.2
Bigos po myśliwsku Kuchnia Polki ;Gotowe dania;01.1.9.4
Helcom - Naturalnie mąka migdałowa bezglutenowa;Owoce suszone i orzechy;01.1.6.3
ŁOSOŚ IRLANDZKI ZE SKÓRĄ MROŻONY PORCJE (KARTON) BIO (2 x 125 g) 250 g - BETTER FISH (B SALMON);Ryby mrożone;01.1.3.2
