regon;nazwa;pkd07
0001440350081U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350082U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350083U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350084U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350085U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350086U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350087U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350088U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350089U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350090U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350091U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350092U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350093U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350094U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350095U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350096U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350097U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350098U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350099U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0003335750008U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W ŁAPACH ";4711
0003335750009U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W ŁAPACH ";4711
0003335750010U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W ŁAPACH ";4711
0003335750012U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W ŁAPACH ";4711
0003336580021U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W AUGUSTOWIE ";4719
0003336580023U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W AUGUSTOWIE ";4719
0003336580025U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W AUGUSTOWIE ";4719
0003336580028U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W AUGUSTOWIE ";4719
0003336580031U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W AUGUSTOWIE ";4719
0003336580032U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W AUGUSTOWIE ";4719
0003336700008U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BARGŁOWIE  ";4711
0003336700009U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BARGŁOWIE  ";4711
0003336700012U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BARGŁOWIE  ";4711
0003336700014U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BARGŁOWIE  ";4711
0003336700016U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BARGŁOWIE  ";4711
0003337300019U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W DĄBROWIE BIAŁOSTOCKIEJ";4711
0003337300020U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W DĄBROWIE BIAŁOSTOCKIEJ ";4711
0003337300021U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W DĄBROWIE BIAŁOSTOCKIEJ ";4711
0003337300022U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W DĄBROWIE BIAŁOSTOCKIEJ ";4711
0003337300023U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W DĄBROWIE BIAŁOSTOCKIEJ ";4711
0003337300024U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W DĄBROWIE BIAŁOSTOCKIEJ ";4711
0003337990012U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SUCHOWOLI  ";4719
0003337990013U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SUCHOWOLI  ";4719
0003340430022U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""W WASILKOWIE  ";4711
0003340430023U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""W WASILKOWIE  ";4711
0003342380009U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRAŃSKU";4719
0003342380010U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRAŃSKU";4719
0003342380011U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRAŃSKU";4719
0003345860017U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003345860018U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003354790008U;"SPÓŁDZIELNIA ROLNICZO - SPOŻYWCZA ""JEDNOŚĆ"" W CIECHANOWCU";4719
0003354790009U;"SPÓŁDZIELNIA ROLNICZO - SPOŻYWCZA ""JEDNOŚĆ"" W CIECHANOWCU";4719
0003354790011U;"SPÓŁDZIELNIA ROLNICZO - SPOŻYWCZA ""JEDNOŚĆ"" W CIECHANOWCU";4719
0003354790012U;"SPÓŁDZIELNIA ROLNICZO - SPOŻYWCZA ""JEDNOŚĆ"" W CIECHANOWCU";4719
0003354790013U;"SPÓŁDZIELNIA ROLNICZO - SPOŻYWCZA ""JEDNOŚĆ"" W CIECHANOWCU";4719
0003354790014U;"SPÓŁDZIELNIA ROLNICZO - SPOŻYWCZA ""JEDNOŚĆ"" W CIECHANOWCU";4719
0003356630010U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SIEMIATYCZACH";4711
0003356630013U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SIEMIATYCZACH";4711
0003356630016U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SIEMIATYCZACH";4711
0003358930013U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W PUŃSKU ";4711
0003358930014U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W PUŃSKU ";4711
0003358930016U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W PUŃSKU ";4711
0003358930017U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W PUŃSKU ";4711
0003358930018U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W PUŃSKU ";4711
0003358930019U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W PUŃSKU ";4711
0003359820013U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W RACZKACH   ";4711
0003359820014U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W RACZKACH   ";4711
0003359820015U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W RACZKACH   ";4711
0003359820016U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W RACZKACH   ";4711
0003359820017U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W RACZKACH   ";4711
0003359820021U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W RACZKACH   ";4711
0003359820022U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W RACZKACH   ";4711
0003361020013U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SEJNACH";4711
0003361020014U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SEJNACH";4711
0003361020015U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SEJNACH";4711
0003361020016U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SEJNACH";4711
0003361020017U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SEJNACH";4711
0003361020019U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SEJNACH";4711
0003361020020U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SEJNACH";4711
0003361020022U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SEJNACH";4711
0003361020023U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SEJNACH";4711
0003361020024U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W SEJNACH";4711
0003366390008U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KONECKU";4711
0003366390009U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KONECKU";4711
0003366390011U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KONECKU";4711
0003366390013U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KONECKU";4711
0003366390014U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KONECKU";4711
0003369640023U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640024U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640025U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640026U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640027U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640028U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640029U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640030U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640031U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640032U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640033U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640034U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640035U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640037U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640038U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640039U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640040U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640041U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640042U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640046U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640047U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640048U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640049U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640050U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640051U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003369640052U;GMINNA SPÓŁDZIELNIA KORONOWO  ;4711
0003371880030U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003371880032U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003371880033U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003371880034U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003373430029U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KARSINIE   ";4711
0003373430032U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KARSINIE   ";4711
0003373890010U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W CZERSKU";4711
0003373890011U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W CZERSKU";4711
0003373890014U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W CZERSKU";4711
0003373890015U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W CZERSKU";4711
0003373890016U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W CZERSKU";4711
0003374550033U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550034U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550035U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550036U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550037U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550039U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550040U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550041U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550042U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550043U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550044U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550046U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550047U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550049U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550051U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550052U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550053U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550054U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550056U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550057U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550058U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550059U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003374550060U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W BRUSACH";4711
0003380120031U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120032U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120035U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120037U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120039U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120040U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120041U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120042U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120044U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120045U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120046U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120048U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120049U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120050U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120052U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120053U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120055U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120056U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120060U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120061U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380120062U;GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711
0003380410006U;SPÓŁDZIELNIA HANDLOWO-PRODUKCYJNA;4711
0003380410007U;SPÓŁDZIELNIA HANDLOWO-PRODUKCYJNA;4711
0003380410008U;SPÓŁDZIELNIA HANDLOWO-PRODUKCYJNA;4711
0003380700014U;WIEJSKA SPÓŁDZIELNIA HANDLOWO-USŁUGOWA W CZERNIKOWIE  ;4711
0003380700017U;WIEJSKA SPÓŁDZIELNIA HANDLOWO-USŁUGOWA W CZERNIKOWIE  ;4711
0003380700018U;WIEJSKA SPÓŁDZIELNIA HANDLOWO-USŁUGOWA W CZERNIKOWIE  ;4711
0003380700021U;WIEJSKA SPÓŁDZIELNIA HANDLOWO-USŁUGOWA W CZERNIKOWIE  ;4711
0003380700023U;WIEJSKA SPÓŁDZIELNIA HANDLOWO-USŁUGOWA W CZERNIKOWIE  ;4711
0003380700026U;WIEJSKA SPÓŁDZIELNIA HANDLOWO-USŁUGOWA W CZERNIKOWIE  ;4711
0003382940006U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W MOGILNIE   ";4711
0003382940007U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W MOGILNIE   ";4711
0003382940008U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W MOGILNIE   ";4711
0003382940010U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W MOGILNIE   ";4711
0003384950006U;SPÓŁDZIELNIA ŚWIT W TOPÓLCE   ;4711
0003384950007U;SPÓŁDZIELNIA ŚWIT W TOPÓLCE   ;4711
0003384950008U;SPÓŁDZIELNIA ŚWIT W TOPÓLCE   ;4711
0003384950009U;SPÓŁDZIELNIA ŚWIT W TOPÓLCE   ;4711
0003385260021U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003385260022U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003385260024U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003385260025U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003385260028U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003385260029U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003385260030U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003385260034U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003385260035U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003385260036U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003385260038U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003385260039U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003385260040U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W WIERZBINKU ";4711
0003387040018U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387040020U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387040023U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387040025U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387040028U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387790017U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387790020U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387790022U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387790024U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387790025U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387790027U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387790029U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387790030U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387790031U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003387790032U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003389050011U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003389050012U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003389050013U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003389050014U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003389050015U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003389050016U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003389050017U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""  ";4711
0003389280016U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KCYNI  ";4711
0003389280017U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KCYNI  ";4711
0003389280018U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KCYNI  ";4711
0003389280019U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KCYNI  ";4711
0003389280020U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KCYNI  ";4711
0003389280021U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KCYNI  ";4711
0003389280023U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KCYNI  ";4711
0003389280024U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KCYNI  ";4711
0003389280025U;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W KCYNI  ";4711
