kod;kod4;nazwa_en;zadania_en;zadania_en_2;nazwa_pl
sty.29;'0129';Growing of other perennial crops;"Growing of rubber trees for harvesting of latex; growing of Christmas trees; growing of trees for extraction of sap; growing of vegetable materials of a kind used primarily for plaiting";;Uprawa pozostałych roślin wieloletnich
01.mar;'0130';Plant propagation;Production of all vegetative planting materials, including cuttings, suckers and seedlings either for direct plant propagation or to create plant grafting stock into which a selected scion is grafted for eventual planting to produc;;Rozmnażanie roślin
sty.41;'0141';Raising of dairy cattle;"raising and breeding of dairy cattle and/or buffaloes; production of raw milk from cows or buffaloes; production of bovine semen of dairy breeds";;Chów i hodowla bydła mlecznego
sty.42;'0142';Raising of other cattle and buffaloes;"raising and breeding of cattle and buffaloes for meat; production of bovine semen of meat breeds";This class also includes: raising and breeding of draft cattle or buffaloes, raising and breeding of fighting bulls;Chów i hodowla pozostałego bydła i bawołów
sty.43;'0143';Raising of horses and other equines;raising and breeding of horses, asses, mules or hinnies, regardless of the purpose;;Chów i hodowla koni i pozostałych zwierząt koniowatych
sty.44;'0144';Raising of camels and camelids;raising and breeding of camels (dromedary) and camelids;;Chów i hodowla wielbłądów i zwierząt wielbłądowatych
sty.45;'0145';Raising of sheep and goats;"raising and breeding of sheep and goats; production of raw sheep or goat milk; production of raw wool";;Chów i hodowla owiec i kóz
sty.46;'0146';Raising of swine and pigs;Raising and breeding of swine and pigs;;Chów i hodowla świń
sty.47;'0147';Raising of poultry;Raising and breeding of poultry, e.g.: chickens, turkeys, ducks, geese, quails, ostriches or guineafowls, production of eggs from poultry, operation of poultry hatcheries, automated egg hatching for poultry;;Chów i hodowla drobiu
sty.48;'0148';Raising of other animals;"Raising and breeding of semi-domesticated or other live animals: birds (except poultry), insects, rabbits and other fur animals, reindeer; production of bird skins from ranching operations or skins from farming reptiles, e.g. snakes and turtles; raising and breeding of reptiles, except crocodiles; operation of land worm farms, land mollusc farms, land snail farms etc. raising of silk worms, production of silk worm cocoons; beekeeping; production of bees’ byproducts (e.g. honey, beeswax, propolis, bee venom or honeycomb); bee propagation for sale; raising and breeding of pets (except fish), e.g.: cats and dogs, birds, e.g. parakeets, hamsters";;Chów i hodowla pozostałych zwierząt
01.maj;'0150';Mixed farming;The combined production of crops and animals without a specialised production of crops or animals.;;Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)
sty.61;'0161';Support activities for crop production;"crop production activities on a fee or contract basis: preparation of fields, establishing a crop, treatment of crops, crop spraying, including by air; trimming of fruit trees and vines; transplanting of rice; thinning of beets; harvesting; pest control (including of rabbits) in connection with agriculture; operation of agricultural irrigation equipment";"provision of agricultural machinery with operators and crew; maintenance of own or leased land, keeping it in good condition without agricultural production";Działalność usługowa wspomagająca produkcję roślinną
sty.62;'0162';Support activities for animal production;"animal production activities on a fee or contract basis: activities to promote the propagation, growth and output of animals; herd testing services, droving services, agistment services, poultry caponising, coop cleaning, etc";activities of farriers;Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich
sty.63;'0163';Post-harvest crop activities and seed processing for propagation;"post-harvest crop activities on a fee or contract basis: preparation of crops for primary markets (e.g. cleaning, trimming, grading or disinfecting); cotton ginning; preparation of tobacco leaves (e.g. sun drying); preparation of cocoa beans (e.g. peeling); waxing of fruit; drying of fruit, vegetables, herbs, spices, medicinal herbs and tobacco under natural conditions; sorting, cleaning and cutting of medicinal herbs; grain drying; post-harvest activities aimed at improving the propagation quality of seed (e.g. by the removal of non-seed materials, or damaged or immature seeds, or by reducing the seed moisture to a safe level for storage); retting of plants bearing vegetable textile fibres (such as jute, flax or coir), not associated with the growing of vegetable textile fibres; artificial ripening of fruits as a service (e.g. banana ripening) ";"drying, cleaning, grading and treating of seeds until they are marketed; treatment of genetically modified seeds";Działalność usługowa następująca po zbiorach oraz obróbka nasion dla celów rozmnażania roślin
01.lip;'0170';Hunting, trapping and related service activities;"Hunting and trapping on a commercial basis; taking of wild animals (dead or alive) for i) food, fur or skin and ii) use in research, in zoos or as pets; production of fur skins and reptile or bird skins from hunting or trapping activities; catching of frogs and collecting of snails in the wild";"Land-based catching of sea mammals (e.g. walruses or seals); hunting of foxes, minks and wolves to protect livestock; hunting for animal population control";Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową
02.sty;'0210';Silviculture and other forestry activities;"growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests, and timber tracts; growing of coppice, pulpwood and firewood; operation of forest tree nurseries; growing of poplar and willow These activities can be carried out in natural, semi-natural or planted forests";;Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych
02.lut;'0220';Logging;"production of roundwood for forest-based manufacturing industries; production of roundwood used in an unprocessed form (e.g. pit-props, fence posts, utility poles)";"gathering and production of forest harvesting residues (e.g. brushwood, stumps, wood chips from logging, other forest waste for energy); production of charcoal in the forest (using traditional methods)";Pozyskiwanie drewna
02.mar;'0230';Gathering of wild growing non-wood products;Gathering of wild growing materials, e.g.: mushrooms, truffles, berries, nuts, balata and other rubber-like gums, cork,  lac and resins,  balsams, acorns, horse chestnuts, mosses and lichens, vegetable hair / eelgrass;harvesting wild herbs and associated natural drying;Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna
02.kwi;'0240';Support services to forestry;"Carrying out part of the forestry operation on a fee or contract basis. Forestry service activities: forestry inventories, forest management consulting services, timber evaluation, forest fire fighting and prevention, forest pest control; logging service activities: transport of logs within the forest";;Działalność usługowa związana z leśnictwem
03.lis;'0311';Marine fishing;"fishing on a commercial basis in ocean and coastal waters; taking of marine crustaceans and molluscs; whaling; taking of marine aquatic animals (e.g. turtles, sea squirts, tunicates, sea urchins)";Gathering of other marine organisms and materials (e.g. natural pearls, sponges, coral, seaweed, algae);Rybołówstwo w wodach morskich
03.gru;'0312';Freshwater fishing;"Fishing on a commercial basis in inland waters; taking of freshwater crustaceans and molluscs; taking of freshwater aquatic animals";"gathering of freshwater materials; gathering of other freshwater organisms and materials: seaweed and algae";Rybołówstwo w wodach śródlądowych
mar.21;'0321';Marine aquaculture;"fish farming in sea water, including farming of marine ornamental fish; production of bivalve spat (e.g. oyster mussel, etc.), lobsterlings, shrimp post-larvae, fish fry and fingerlings; growing of seaweed and algae; culture of crustaceans, bivalves, other molluscs and other aquatic animals in sea water";"Aquaculture activities in brackish waters; land-based aquaculture activities in salt water filled tanks and reservoirs; operation of marine fish hatcheries and marine worm farms; marine microalgae cultivation";Akwakultura w wodach morskich
mar.22;'0322';Freshwater aquaculture;"Fish farming in freshwater, including farming of freshwater ornamental fish; culture of freshwater crustaceans, bivalves, other molluscs and other aquatic animals; operation of fish hatcheries (freshwater); farming of frogs; growing of seaweed and algae (edible or not)";freshwater microalgae cultivation;Akwakultura w wodach śródlądowych
03.mar;'0330';Support activities for fishing and aquaculture;"service activities incidental to marine or freshwater fishery or aquaculture, e.g.: diving services for aquaculture, remotely operated underwater vehicles (ROV) services for aquaculture; repair and maintenance services for fish cages; other support activities on fishing and aquaculture n.e.c.";fishery (fishery guard) and aquaculture control;Działalność usługowa wspomagająca rybołówstwo i akwakulturę
05.sty;'0510';Mining of hard coal;"Mining of hard coal: underground or surface mining, including mining through liquefaction methods; cleaning, sizing, grading, pulverising, compressing, etc. of coal to classify, improve quality or facilitate transport or storage";recovery of hard coal from culm banks;Wydobywanie węgla kamiennego
05.lut;'0520';Mining of lignite;"mining of lignite (brown coal): underground or surface mining, including mining through liquefaction methods; washing, dehydrating, pulverising, compressing of lignite to improve quality or facilitate transport or storage";;Wydobywanie węgla brunatnego (lignitu)
06.sty;'0610';Extraction of crude petroleum;extraction of crude petroleum oils;"extraction of bituminous or oil shale and tar sand; production of crude petroleum from bituminous shale and sand; processes to obtain crude oils (e.g. decantation, desalting, dehydration, stabilisation)";Górnictwo ropy naftowej
06.lut;'0620';Extraction of natural gas;"production of crude gaseous hydrocarbon (natural gas); extraction of condensates; draining and separation of liquid hydrocarbon fractions; gas desulphurisation; extraction of coal mine methane";"mining of hydrocarbon liquids obtained through liquefaction or pyrolysis; fracking to extract coal seam gas";Górnictwo gazu ziemnego
07.sty;'0710';Mining of iron ores;"mining of ores valued chiefly for iron content; beneficiation of iron ores";;Górnictwo rud żelaza
lip.21;'0721';Mining of uranium and thorium ores;"Mining of ores chiefly valued for uranium and thorium content: pitchblende, etc.; concentration of such ores; manufacture of yellowcake";;Górnictwo rud uranu i toru
lip.29;'0729';Mining of other non-ferrous metal ores;"mining and preparation of ores chiefly valued for non-ferrous metal content: aluminium (bauxite), copper, lead, zinc, tin, manganese, chrome, nickel, cobalt, molybdenum, tantalum, vanadium, lithium/spodumene, etc.; precious metals: gold, silver, platinum";;Górnictwo pozostałych rud metali nieżelaznych
08.lis;'0811';Quarrying of ornamental stone, limestone, gypsum, slate and other stone;"quarrying, rough trimming and sawing of monumental and building stone (for example, marble, granite, sandstone); breaking and crushing of ornamental and building stone; quarrying, crushing and breaking of limestone;  mining of gypsum and anhydrite; mining of chalk and uncalcined dolomite; production of granules, chippings and powder of extracted stones, whether heat-treated or not";;Wydobywanie kamieni ozdobnych, wapienia, gipsu, łupków oraz pozostałych kamieni i skał
08.gru;'0812';Operation of gravel and sand pits and mining of clay and kaolin;"extraction and dredging of industrial sand, sand for construction and gravel; breaking and crushing of gravel; quarrying of sand; mining of clays, refractory clays and kaolin";;Wydobywanie żwiru, piasku, gliny i kaolinu
sie.91;'0891';Mining of chemical and fertiliser minerals;"mining of natural phosphates and natural potassium salts; mining of native sulphur; extraction and preparation of pyrites and pyrrhotite, except roasting; mining of natural barium sulphate and carbonate (barytes and witherite), natural borates, natural magnesium sulphates (kieserite); mining of earth colours, fluorspar and other minerals valued chiefly as a source of chemicals";"guano mining; mining of medicinal mud; extraction processes to produce lithium from brine";Wydobywanie minerałów dla przemysłu chemicznego oraz do produkcji nawozów
sie.92;'0892';Extraction of peat;"peat digging; preparation of peat to improve quality or facilitate transport/storage";;Wydobywanie torfu
sie.93;'0893';Extraction of salt;"extraction of salt from underground, including by dissolving and pumping; salt production by evaporation of sea water or other saline waters; crushing, purification and refining of salt by the producer";;Wydobywanie soli
sie.99;'0899';Other mining and quarrying n.e.c.;"mining and quarrying of various minerals and materials: abrasive materials, asbestos, siliceous fossil meals, natural graphite, steatite (talc), feldspar, etc.; natural asphalt, asphaltites and asphaltic rock; natural solid bitumen; gemstones, quartz, mica, etc.";;Pozostałe górnictwo i wydobywanie, gdzie indziej niesklasyfikowane
09.sty;'0910';Support activities for petroleum and natural gas extraction;"oil and gas extraction service activities provided on a fee or contract basis: exploration services in connection with petroleum or gas extraction (e.g. traditional prospecting methods, making geological observations at prospective sites); directional drilling and redrilling; 'spudding in'; derrick erection in situ, repairing and dismantling; cementing oil and gas well casings; pumping of wells; plugging and abandoning wells, etc.; liquefaction and regasification of natural gas for the purpose of transport, done at the mine site; draining and pumping services on a fee or contract basis; test drilling in connection with petroleum or gas extraction";firefighting services and fire-prevention services for oilfields and gas fields;Działalność usługowa wspomagająca eksploatację złóż ropy naftowej i gazu ziemnego
09.wrz;'0990';Support activities for other mining and quarrying;"support services on a fee or contract basis, required for mining activities of divisions Mining of coal and lignite, Mining of metal ores, Other mining and quarrying; exploration services by using traditional prospecting methods (e.g. taking core samples and making geological observations at prospective sites); draining and pumping services on a fee or contract basis; test drilling and test hole boring; securing mine shafts and tunnels; demolition and dismantling of underground mining facilities";;Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie
10.lis;'1011';Processing and preserving of meat, except of poultry meat;"operation of slaughterhouses engaged in killing, dressing or packing meat: beef, pork, lamb, rabbit, mutton, camel, etc.; production of fresh, chilled or frozen meat, in carcasses; production of fresh, chilled or frozen meat, in cuts";"slaughtering and processing of whales on land or on specialised vessels; production of hides and skins originating from slaughterhouses (e.g. by fellmongery and salting); rendering and refining of lard and other edible animal;  processing of animal offal; production of pulled wool";Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu
10.gru;'1012';Processing and preserving of poultry meat;"operation of slaughterhouses engaged in killing, dressing or packing poultry; production of fresh, chilled or frozen meat in individual portions; rendering of edible poultry fats";cleaning, disinfecting, treating for preservation, and trimming of feathers and down;Przetwarzanie i konserwowanie mięsa z drobiu
pa�.13;'1013';Production of meat and poultry meat products;"Production of preserved meat (e.g. by cooking, drying, salting or smoking); production of meat products: sausages, salami, puddings, andouillettes, saveloys, bolognas, pâtés, rillettes, boiled ham";;Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego
10.lut;'1020';Processing and preserving of fish, crustaceans and molluscs;"preparation and preservation of fish, crustaceans and molluscs (e.g. freezing, deep-freezing, drying, cooking, smoking, salting, immersing in brine, canning); production of fish, crustacean and mollusc products: fish fillets, roes, caviar, caviar substitutes, etc.; production of fishmeal for human consumption or animal feed; production of meals and solubles from fish and other aquatic animals unfit for human consumption";"activities of factory vessels not engaged in fishing and only in the processing and preserving of fish; processing of seaweed; removing fish heads, gutting and cutting fish into pieces, and then freezing";Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków
pa�.31;'1031';Processing and preserving of potatoes;"processing and preserving of potatoes: manufacture of prepared frozen potatoes; manufacture of dehydrated mashed potatoes; manufacture of potato snacks; manufacture of potato crisps; manufacture of potato flour and meal; peeling and cutting of potatoes";;Przetwarzanie i konserwowanie ziemniaków
pa�.32;'1032';Manufacture of fruit and vegetable juice;manufacture of fruit or vegetable juices;production of concentrates from fresh fruits and vegetables;Produkcja soków z owoców i warzyw
pa�.39;'1039';Other processing and preserving of fruit and vegetables;"manufacture of food consisting chiefly of fruits or vegetables; preserving of fruits, nuts or vegetables (e.g. freezing, drying, freeze-drying, drying by infra-red radiation, immersing in oil or in vinegar, canning, high pressure,  high temperature); manufacture of fruit or vegetable food products; manufacture of jams, marmalades and table jellies;  shelling, peeling and roasting of nuts; manufacture of nut foods and pastes";"manufacture of perishable prepared foods of fruits and vegetables, e.g.: salads; mixed salads, packaged; peeled or cut vegetables; tofu (bean curd)";Pozostałe przetwarzanie i konserwowanie owoców i warzyw
pa�.41;'1041';Manufacture of oils and fats;"manufacture of crude and refined vegetable oils (e.g. olive oil, soya-bean oil, hemp oil, sunflower seed oil, rape oil);  manufacture of non-defatted flour or meal of oilseeds, oil nuts or oil kernels
- processing of vegetable oils ";"manufacture of non-edible animal oils and fats; extraction of fish and marine mammal oils; production of cotton linters, oilcakes and other residual products of oil production";Produkcja olejów i pozostałych tłuszczów płynnych
pa�.42;'1042';Manufacture of margarine and similar edible fats;"manufacture of margarine; manufacture of melanges and similar spreads; manufacture of compound cooking fats";;Produkcja margaryny i podobnych tłuszczów jadalnych
pa�.51;'1051';Manufacture of dairy products;"manufacture of fresh liquid milk, pasteurised, sterilised, homogenised and/or ultra-heat treated; manufacture of milk-based drinks; manufacture of cream from fresh liquid milk, pasteurised, sterilised, homogenised; manufacture of";"manufacture of milk kefir; manufacture of lactose and lactose syrup";Wytwarzanie wyrobów mleczarskich
pa�.52;'1052';Manufacture of ice cream and other edible ice;manufacture of ice cream and other edible ice (e.g. sorbet);;Produkcja lodów śmietankowych i pozostałych lodów jadalnych
pa�.61;'1061';Manufacture of grain mill products;"Grain milling: production of flour, semolina, groats, meal or pellets of wheat, rye, oats, maize (corn) or other cereal grains; rice milling: production of husked, milled, polished, glazed, parboiled or converted rice; production of rice flour; vegetable milling: production of flour or meal of dried leguminous vegetables, of roots or tubers, or of edible nuts; manufacture of cereal breakfast foods; manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits, pancakes, etc.";;Wytwarzanie produktów przemiału zbóż
pa�.62;'1062';Manufacture of starches and starch products;"Manufacture of starches from rice, potatoes, maize, etc.;  wet corn milling; manufacture of glucose, glucose syrup, maltose, inulin, etc.; manufacture of gluten; manufacture of tapioca and tapioca substitutes prepared from starch; manufacture of corn oil";;Wytwarzanie skrobi i wyrobów skrobiowych
pa�.71;'1071';"Manufacture of bread; manufacture of fresh pastry goods and cakes";"Manufacture of bakery products: bread and rolls
pastry, cakes, pies, tarts, pancakes, waffles, etc.";Manufacture of pre-baked bread;"Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek"
pa�.72;'1072';Manufacture of rusks, biscuits, preserved pastries and cakes;"Manufacture of rusks, biscuits and other dry bakery products; manufacture of preserved pastry goods, cakes and waffles; manufacture of snack products (cookies, crackers, pretzels, etc.), whether sweet or salted";manufacture of breadcrumbs, obtained by grinding toasted bread;Produkcja sucharów, herbatników, konserwowanych wyrobów ciastkarskich i ciastek
pa�.73;'1073';Manufacture of farinaceous products;"Manufacture of pastas (e.g. macaroni and noodles), whether or not cooked or stuffed; manufacture of couscous";;Produkcja wyrobów mącznych
pa�.81;'1081';Manufacture of sugar;"Manufacture or refining of sugar (sucrose) and sugar substitutes from the juice of cane, beet, maple and palm; manufacture of sugar syrups; manufacture of molasses; production of maple syrup and sugar";;Produkcja cukru
pa�.82;'1082';Manufacture of cocoa, chocolate and sugar confectionery;"Manufacture of cocoa, cocoa butter, cocoa fat, cocoa oil; manufacture of chocolate and chocolate confectionery; manufacture of sugar confectionery: caramels, cachous, nougats, fondant, white chocolate; manufacture of chewing gum; preserving in sugar of fruits, nuts, fruit peels and other parts of plants; manufacture of confectionery lozenges and pastilles; manufacture of sugar-free confectionery";;Produkcja kakao, czekolady i wyrobów cukierniczych
pa�.83;'1083';Processing of tea and coffee;"Decaffeinating and roasting of coffee; production of coffee products: ground coffee; soluble coffee; extracts and concentrates of coffee; manufacture of coffee substitutes; blending of tea and maté; manufacture of extracts and preparations based on tea or maté";"Manufacture of herb infusions (mint, vervain, chamomile, etc.); manufacture of tea and coffee filled in bags, pads or capsules";Przetwórstwo herbaty i kawy
pa�.84;'1084';Manufacture of condiments and seasonings;"Manufacture of spices, sauces and condiments: mayonnaise, mustard flour and meal, prepared mustard, etc.; manufacture of vinegar";"Processing of salt into food-grade salt (e.g. iodised salt); processing of condiments and herbs, including drying, sorting, cleaning and cutting";Produkcja przypraw
pa�.85;'1085';Manufacture of prepared meals and dishes;"Manufacture of ready-made (prepared, seasoned and cooked) meals and dishes. These dishes are processed and conserved (for example, in frozen or canned form) and are usually packaged and labelled for resale. To be considered a dish, these foods have to contain at least two distinct main ingredients (except seasonings, and so on). Manufacture of meat or poultry dishes ; manufacture of fish dishes, including fish and chips; manufacture of pasta and rice dishes; manufacture of vegetable dishes; manufacture of frozen or otherwise preserved pizza and croque-monsieur";;Wytwarzanie gotowych posiłków i dań
pa�.86;'1086';Manufacture of homogenised food preparations and dietetic food;"Manufacture of foods for particular nutritional uses: infant formulae; follow-up formulae milk and other follow-up foods; baby foods; low-energy and energy-reduced foods intended for weight control; foods for medical purposes ";;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej
pa�.89;'1089';Manufacture of other food products n.e.c.;"Manufacture of food products edible within a maximum of three days after production: manufacture of soups and broths; manufacture of perishable prepared foods, e.g.: sandwiches, fresh (uncooked) pizza; manufacture of quiche and croque-monsieur";"This class also includes: manufacture of yeast; manufacture of extracts and juices of meat, fish, crustaceans or molluscs; production of plant-based milk substitutes (e.g. coconut, rice, almond, soya-based beverages); manufacture of meat and cheese substitutes; manufacture of egg products (e.g. egg albumin); manufacture of artificial concentrates; processing of purchased natural honey; production of semi-finished products for ice cream and pastries; manufacture of pre-cooked instant soups and instant noodles; manufacture of artificial honey and caramel; manufacture of malt extracts and syrups; manufacture of insect meal and other insect-based preparations; manufacture of food supplements and other food products n.e.c.";Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana
pa�.91;'1091';Manufacture of prepared feeds for farm animals;"Manufacture of prepared feed for farm animals, including concentrated animal feed and feed supplements; preparation of unmixed (single) feed for farm animals";processing of waste products from the food industry into animal feed;Produkcja gotowej paszy dla zwierząt gospodarskich
pa�.92;'1092';Manufacture of prepared pet foods;Manufacture of prepared feed for pets, including dogs, cats, birds, fish, etc.;Processing of slaughter waste to produce animal feed;Produkcja gotowej karmy dla zwierząt domowych
11.sty;'1101';Distilling, rectifying and blending of spirits;"Manufacture of distilled, potable, alcoholic beverages: whisky, brandy, gin, liqueurs, etc.; manufacture of drinks mixed with distilled alcoholic beverages; blending of distilled spirits; production of neutral spirits";;Destylowanie, rektyfikowanie i mieszanie alkoholi
11.lut;'1102';Manufacture of wine from grape;"Manufacture of wine of fresh grapes; manufacture of sparkling wine; manufacture of fortified wines; manufacture of wine from concentrated grape must";"blending, purification and bottling of wine; manufacture of low or non-alcoholic wine";Produkcja win gronowych
11.mar;'1103';Manufacture of cider and other fermented fruit beverages;"manufacture of fermented but not distilled alcoholic beverages: mead, sake, cider, perry and other fruit wines; manufacture of wine from raisins";"manufacture of mixtures of fermented beverages and non-alcoholic beverages n.e.c.; manufacture of fruit kefir and water kefir";Produkcja cydru i pozostałych owocowych napojów fermentowanych
11.kwi;'1104';Manufacture of other non-distilled fermented beverages;manufacture of aromatised wine of fresh grapes, flavoured with aromatic substances (e.g. vermouth);;Produkcja pozostałych niedestylowanych napojów fermentowanych
11.maj;'1105';Manufacture of beer;manufacture of malt liquors (e.g. beer, ale, porter, stout);manufacture of low alcohol or non-alcoholic beer;Produkcja piwa
11.cze;'1106';Manufacture of malt;manufacture of malt from barley, wheat, or other grains;;Produkcja słodu
11.lip;'1107';Manufacture of soft drinks and bottled waters;"Manufacture of non-alcoholic beverages (except non-alcoholic beer and wine): production of natural mineral waters and other bottled waters; manufacture of soft drinks: non-alcoholic flavoured and/or sweetened waters: lemonade, orangeade, cola, fruit drinks, tonic waters, etc.; manufacture of other non-alcoholic beverages";manufacture of beverages produced with fruit nectars;Produkcja napojów bezalkoholowych i wód butelkowanych
12.0;'1200';Manufacture of tobacco products;"Manufacture of tobacco products and products of tobacco substitutes: cigarettes, fine-cut tobacco, cigars, pipe tobacco, chewing tobacco, snuff; manufacture of homogenised or reconstituted tobacco";stemming and redrying of tobacco;Produkcja wyrobów tytoniowych
13.sty;'1310';Preparation and spinning of textile fibres;"This class includes preparatory operations on textile fibres and the spinning of textile fibres. This can be done from varying raw materials, whether new or recycled textile materials (for example, silk, cotton, wool, vegetable or man-made fibres and paper cellulose-based fibres, such as wood or straw). This class includes: preparatory operations on textile fibres: reeling and washing of silk,  wool scouring, i.e. degreasing and carbonising of wool and dyeing of wool fleece, carding and combing of all kinds of animal, vegetable and man-made fibres; spinning and manufacture of yarn or thread for weaving or sewing, for trade or for further processing, scutching of flax, texturising, twisting, folding, cabling and dipping of synthetic or artificial filament yarns; spinning of recycled fibres from secondary raw materials ";manufacture of paper yarn;Przygotowanie i przędzenie włókien tekstylnych
13.lut;'1320';Weaving of textiles;"weaving of textiles. This can be done from varying raw materials, whether new fibres or recycled textile materials (for example, silk, cotton, wool, vegetable or man-made fibres or paper, recovered textile waste materials).  manufacture of broad woven cotton-type, woollen-type, worsted-type or silk-type fabrics, including from mixtures or artificial or synthetic yarns (polypropylene, etc.); manufacture of other broad woven fabrics, using flax, ramie, hemp, jute, bast fibres and special yarns; manufacture of broad woven fabrics, from secondary raw materials";"manufacture of woven pile or chenille fabrics, terry towelling, gauze, etc.; manufacture of woven fabrics of aramid threads; manufacture of imitation fur by weaving";Produkcja tkanin
13.mar;'1330';Finishing of textiles;"finishing of textiles and wearing apparel, in other words, bleaching, dyeing, dressing and similar activities. bleaching and dyeing of textile fibres, yarns, fabrics and textile articles, including wearing apparel; dressing, drying, steaming, shrinking, mending, sanforising, mercerising of textiles and textile articles, including wearing apparel ";"bleaching of jeans; pleating and similar work on textiles; waterproofing, coating, rubberising, or impregnating purchased garments; printing of textile fabrics as an intermediate process within the manufacture of textiles";Wykończanie wyrobów tekstylnych
13.91;'1391';Manufacture of knitted and crocheted fabrics;"manufacture and processing of knitted or crocheted fabrics: pile and terry fabrics
net and window furnishing type fabrics
other knitted or crocheted fabrics";manufacture of imitation fur by knitting;Produkcja dzianin metrażowych
13.92;'1392';Manufacture of household textiles and made-up furnishing articles;" manufacture of made-up household textiles articles of any material, including of knitted or crocheted fabrics, e.g.: blankets, including travelling rugs; bed, table, toilet or kitchen linen; quilts, eiderdowns, cushions, pouffes, pillows, sleeping bags; manufacture of made-up furnishing articles: curtains, valances, bedspreads; flags, banners, pennants, dust-cloths, dishcloths and similar articles";"manufacture of the textile part of electric blankets; manufacture of hand-woven tapestries";Produkcja wyrobów tekstylnych dla gospodarstw domowych i gotowych artykułów wyposażenia wnętrz
