kod czteroznakowy;Nazwa;Synteza;Zadania;Uwagi
2342;Specjaliœci do spraw wychowania ma³ego dziecka;Specjaliœci do spraw wychowania ma³ego dziecka, do których nale¿¹ nauczyciele przedszkoli i wychowawcy ma³ego dziecka zajmuj¹ siê promowaniem spo³ecznego, fizycznego i intelektualnego rozwoju dzieci, które nie osi¹gnê³y wieku szkolnego poprzez prowadzenie zajêæ edukacyjnych i wychowawczych.;"Zadania wykonywane przez specjalistów do spraw wychowania ma³ego dziecka zazwyczaj obejmuj¹: planowanie i organizowanie zajêæ indywidualnych i grupowych maj¹cych na celu rozwijanie u dzieci zdolnoœci motorycznych, umiejêtnoœci wspó³pracy i umiejêtnoœci spo³ecznych, pewnoœci siebie i zrozumienia; rozwijanie umiejêtnoœci jêzykowych poprzez opowiadanie historii, odgrywanie scenek i wykorzystywanie piosenek, wierszy oraz swobodnych konwersacji i dyskusji; kierowanie dzia³aniami dzieci umo¿liwiaj¹cymi im wykazanie siê kreatywnoœci¹ przez wykorzystanie sztuki, aktorstwa, muzyki i sprawnoœci fizycznej; obserwowanie dzieci w celu okreœlenia ich postêpów oraz wykrywania, we wspó³pracy z rodzicami lub psychologiem, oznak problemów rozwojowych, emocjonalnych i zdrowotnych; obserwowanie i ocenianie kwestii zwi¹zanych z do¿ywianiem dzieci, dobrem i ich potrzebami w zakresie bezpieczeñstwa; nadzorowanie zabaw dzieci w celu zapewniania ich bezpieczeñstwa; udzielenie wskazówek dzieciom i pomaganie im w ukszta³towaniu w³aœciwych nawyków zwi¹zanych z jedzeniem, ubieraniem siê, itp.; wspó³praca z rodzicami i innymi pracownikami merytorycznymi o postêpach dzieci lub ich problemach oraz, w razie potrzeby, ustalanie stosownych dzia³añ i przekazywanie ich do w³aœciwych s³u¿b; uczestniczenie w spotkaniach dotycz¹cych";
2351;Wizytatorzy i specjaliœci metod nauczania;"Wizytatorzy i specjaliœci metod nauczania zajmuj¹ siê analiz¹ i kontrol¹ pracy nauczycieli, funkcjonowaniem instytucji oœwiatowych i osi¹ganymi wynikami przez uczniów oraz zalecaj¹ zmiany i udoskonalenia procesu dydaktycznego. Przeprowadzaj¹ badania, opracowuj¹ nowe metod nauczania oraz pomoce dydaktyczne; udzielaj¹ porad z tego zakresu; zajmuj¹ siê metodyk¹ edukacji multimedialnej oraz edukacji na odleg³oœæ.";"Zadania wykonywane przez wizytatorów i specjalistów metod nauczania zazwyczaj obejmuj¹: regularne wizytowanie szkó³ i prowadzenie konsultacji z pracownikami administracyjnymi i personelem dydaktycznym na tematy dotycz¹ce programów nauczania, metod nauczania, sprzêtu i innych kwestii; wizytowanie sal lekcyjnych w celu obserwacji technik nauczania oraz ocenienia jakoœci pracy nauczycieli i ich osi¹gniêæ dydaktycznych; przygotowywanie sprawozdañ i kierowanie do w³adz oœwiatowych zaleceñ dotycz¹cych ewentualnych zmian i udoskonaleñ w programach i metodach nauczania; ocenianie programów poszczególnych przedmiotów, form egzaminowania oraz udzielanie porad w tym zakresie; zbieranie informacji o pomocach audiowizualnych i innych pomocach dydaktycznych oraz organizowanie wprowadzenia ich w szko³ach i innych instytucjach oœwiatowych; zapewnianie nauczycielom mo¿liwoœci ci¹g³ego rozwoju zawodowego, dostêpu do szkoleñ i us³ug doradczych; organizowanie i przeprowadzanie warsztatów i konferencji maj¹cych na celu zapoznanie nauczycieli z nowymi programami i metodami nauczania; opracowywanie struktury, treœci i celów nowych programów i metod nauczania, w tym z zakresu edukacji multimedialnej i nauczania na odleg³oœæ. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
2352;Nauczyciele pracuj¹cy z osobami o specjalnych potrzebach edukacyjnych;Nauczyciele pracuj¹cy z osobami o specjalnych potrzebach edukacyjnych pracuj¹cy z dzieæmi, m³odzie¿¹ i osobami doros³ymi o specjalnych potrzebach edukacyjnych i wychowawczych na ró¿nym poziomie nauczania. Zajmuj¹ siê nauczaniem niepe³nosprawnych fizycznie lub intelektualnie, osób maj¹cych trudnoœci z nauk¹ lub osób o innych specjalnych potrzebach edukacyjnych (g³uchych i niedos³ysz¹cych, niedostosowanych spo³ecznie, niewidomych i niedowidz¹cych, przewlekle chorych i niepe³nosprawnych ruchowo, niepe³nosprawnych intelektualnie). Promuj¹ spo³eczny, emocjonalny, intelektualny i fizyczny rozwój swoich uczniów.;"Zadania wykonywane przez nauczycieli pracuj¹cy z osobami o specjalnych mo¿liwoœci i ograniczeñ uczniów zwi¹zanych z niepe³nosprawnoœci¹ intelektualn¹ fizyczn¹ i emocjonaln¹ lub innymi specyficznymi problemami w œrodowisku spo³ecznym; opracowywaniem programów nauczania lub wprowadzaniem do nich zmian, przygotowywanie i przeprowadzanie zajêæ wed³ug tych programów dostosowanych do mo¿liwoœci i potrzeb uczniów; prowadzenie zajêæ indywidualnych lub grupowych z wykorzystaniem specjalnych technik lub pomocy dydaktycznych odpowiadaj¹cych potrzebom uczniów; stosowanie podczas zajêæ specjalnych strategii i technik nauczania w celu poprawy rozwoju zdolnoœci czuciowo- motorycznych i percepcyjno-motorycznych, usprawnienia pos³ugiwania siê jêzykiem, poprawy funkcji poznawczych i pamiêci; okreœlanie i wprowadzanie zasad postêpowania oraz procedur i zasad utrzymywania porz¹dku wœród uczniów; nauczanie praktycznych umiejêtnoœci i zaradnoœci wœród uczniów z upoœledzeniem s³uchu, wzroku oraz z innymi rodzajami upoœledzenia; pobudzanie i rozwijanie u uczniów pewnoœci siebie, zainteresowañ, zdolnoœci, umiejêtnoœci manualnych i koordynacji; prowadzenie konsultacji z innymi pracownikami dydaktycznymi w zakresie planowanie i organizowania lekcji dla uczniów o specjalnych potrzebach edukacyjnych; przygotowywanie danych o uczniach oraz sprawozdañ; stosowanie indywidualnych form oceny postêpów ka¿dego ucznia; opracowanie indywidualnych planów nauczania uczniów w konsultacji z rodzicami, dyrektorem placówki oraz innymi specjalistami zaanga¿owanymi w proces edukacyjny i opiekuñczo- wychowawczy, s³u¿¹cych promowaniu rozwoju uczniów. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
2353;Lektorzy jêzyków obcych;Lektorzy jêzyków obcych zajmuj¹ siê nauczaniem jêzyków obcych dzieci, m³odzie¿y oraz osób doros³ych, którzy ucz¹ siê jêzyka, aby u³atwiæ sobie udzia³ w programach edukacyjnych realizowanych w jêzyku obcym lub spe³niæ wymagania zwi¹zane z prac¹, dla celów migracyjnych lub dla rozwoju osobistego. Pracuj¹ oni poza struktur¹ systemu szkó³ podstawowych, œrednich i wy¿szych lub wspieraj¹ uczniów i nauczycieli w ramach tego systemu.;"Zadania wykonywane przez lektorów jêzyków obcych ujêtych w tej grupie zazwyczaj obejmuj¹: ocenianie stopnia umiejêtnoœci jêzykowych i zakresu trudnoœci jêzykowych uczniów oraz okreœlanie potrzeb i celów ich kszta³cenia; planowanie, przygotowywanie i prowadzenie lekcji oraz warsztatów grupowych i indywidualnych, których program i tempo realizacji s¹ dostosowane do mo¿liwoœci i potrzeb uczniów; opracowywanie i przygotowywanie materia³ów dydaktycznych oraz dostosowywanie do potrzeb istniej¹cych materia³ów; ocenianie postêpów uczniów; udzielanie pomocy uczniom podczas lekcji, w trakcie których przedmioty s¹ nauczane w jêzyku innym ni¿ ich jêzyk ojczysty; udzielanie wsparcia innym nauczycielom przez opracowywanie specjalnych programów nauczania przeznaczonych dla uczniów ucz¹cych siê jêzyka obcego, w którym s¹ prowadzone zajêcia; zadawanie i sprawdzanie prac oraz przygotowywanie i ocenianie wyników egzaminów; ocenianie, dokumentowanie i sporz¹dzanie raportów z postêpów uczniów. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
2354;Nauczyciele muzyki w placówkach pozaszkolnych;Nauczyciele muzyki w placówkach pozaszkolnych zajmuj¹ siê nauczaniem praktycznych i teoretycznych aspektów muzyki oraz jej wykonywania wœród uczniów poza strukturami systemu szkó³ podstawowych, œrednich i wy¿szych, ale mog¹ tak¿e prowadziæ zajêcia indywidualne lub w ma³ych grupach, w ramach zajêæ pozalekcyjnych organizowanych we wspó³pracy z instytucjami i placówkami oœwiatowymi i kulturalnymi.;"Zadania wykonywane przez nauczyciele muzyki w placówkach pozaszkolnych zazwyczaj obejmuj¹: ocenianie zdolnoœci uczniów oraz okreœlanie ich potrzeb i celów nauczania; planowanie, przygotowywanie i realizowanie programów nauczania, planów lekcji i warsztatów przeznaczonych dla uczniów indywidualnych oraz dla grup; przygotowywanie i prezentowanie materia³ów dotycz¹cych teorii muzyki i interpretacji muzyki; nauczanie i prezentowanie praktycznych aspektów œpiewu lub gry na okreœlonym instrumencie; rozwijanie u uczniów umiejêtnoœci czytania i pisania nut; zadawanie zadañ i nauczanie utworów muzycznych na poziomie trudnoœci odpowiadaj¹cym umiejêtnoœciom, zainteresowaniom i talentowi uczniów; ocenianie uczniów oraz doradzanie im, przedstawianie uwag i zachêcanie do pracy; udoskonalanie programów nauczania, programów kursów, materia³ów kursów i metod nauczania; przygotowywanie uczniów do egzaminów, wystêpów i sprawdzianów; organizowanie wyjazdów na wystêpy muzyczne; organizowanie przes³uchañ lub wystêpów z udzia³em uczniów oraz udzielanie pomocy przy ich organizacji. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
2355;Nauczyciele sztuki w placówkach pozaszkolnych;Nauczyciele sztuki w placówkach pozaszkolnych zajmuj¹ siê nauczaniem praktycznych i teoretycznych aspektów tañca, sztuki aktorskiej, sztuk plastycznych i innych (z wy³¹czeniem muzyki) oraz jej wykonywania wœród uczniów poza strukturami systemu szkó³ podstawowych, œrednich i wy¿szych, mog¹ tak¿e prowadziæ zajêcia indywidualne lub w ma³ych grupach w ramach zajêæ pozalekcyjnych organizowanych we wspó³pracy z instytucjami i organizacjami oœwiatowymi i kulturalnymi.;"Zadania wykonywane przez nauczyciele sztuki w placówkach pozaszkolnych ujêtych w tej grupie zazwyczaj obejmuj¹: ocenianie zdolnoœci uczniów oraz okreœlanie ich potrzeb nauczania; planowanie, przygotowywanie i realizowanie programów nauczania, planów lekcji i warsztatów przeznaczonych dla uczniów indywidualnych i dla grup; przygotowywanie i prezentowanie materia³ów dotycz¹cych teorii nauczanego przedmiotu; nauczanie i prezentowanie praktycznych aspektów sztuki aktorskiej, tañca, sztuk plastycznych lub innych; zadawanie zadañ i prac na poziomie trudnoœci odpowiadaj¹cym umiejêtnoœciom, zainteresowaniom i talentowi uczniów; ocenianie uczniów oraz doradzanie im, przedstawianie uwag krytycznych i zachêcanie do pracy; udoskonalanie programów nauczania, programów kursów, materia³ów kursów i metod nauczania; przygotowywanie uczniów do egzaminów,";
2356;Instruktorzy technologii informatycznych;Instruktorzy technologii informatycznych zajmuj¹ siê opracowywaniem, organizowaniem i realizowaniem programów szkoleñ i kursów dla u¿ytkowników komputerów i innych technologii informatycznych poza strukturami systemu szkó³ podstawowych, œrednich i wy¿szych.;"Zadania wykonywane przez instruktorów technologii informatycznych ujêtych w tej grupie zazwyczaj obejmuj¹: okreœlanie potrzeb i wymogów szkoleniowych z zakresu technologii informatycznych dotycz¹cych u¿ytkowników indywidualnych, grupowych oraz instytucji i organizacji; przygotowywanie i opracowywanie instrukta¿owych materia³ów szkoleniowych i pomocy dydaktycznych, takich jak: podrêczniki, pomoce wizualne, zajêcia dostêpne on-line, prototypy oraz dokumenty referencyjne wspieraj¹ce szkolenie; opracowywanie, koordynowanie, planowanie i realizowanie programów szkolenia, które mo¿na przeprowadziæ w ramach zajêæ indywidualnych oraz warsztatów grupowych, spotkañ, pokazów i konferencji; monitorowanie i przeprowadzanie bie¿¹cej oceny jakoœci i skutecznoœci szkolenia; posiadanie aktualnych informacji na temat wprowadzania na rynek nowych wersji produktu, rozwoju oprogramowania i ogólnych informacji na temat tendencji technologicznych, sporz¹dzania produktów i materia³ów przeznaczanych dla u¿ytkowników, takich jak: podrêczniki szkoleñ i zajêæ, pomoce on-line oraz instrukcje operacyjne i instrukcje dotycz¹ce konserwacji. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
2359;Specjaliœci nauczania i wychowania gdzie indziej niesklasyfikowani;Grupa tej grupy elementarnej nale¿¹ specjaliœci nauczania i wychowania nie zaklasyfikowani do grupy œredniej 235 Inni specjaliœci nauczania i wychowania. Grupa ta obejmuje na przyk³ad osoby prowadz¹ce zajêcia z przedmiotów innych ni¿ jêzyki obce i sztuka oraz osoby zapewniaj¹ce uczniom doradztwo z zakresu kszta³cenia w placówkach szkolnych i pozaszkolnych, kszta³cenia na odleg³oœæ, zajmuj¹ce siê opiek¹ psychologiczn¹ pedagogiczn¹ i wychowaniem w placówkach pozaszkolnych, oœwiatowych, wychowawczych i opiekuñczych, prowadzeniem bibliotek szkolnych, itp.;"Zadania wykonywane przez specjalistów nauczania i wychowania gdzie indziej niesklasyfikowanych ujêtych w tej grupie zazwyczaj obejmuj¹: ocenianie zdolnoœci uczniów oraz okreœlanie ich potrzeb nauczania; planowanie, przygotowywanie i realizowanie programów nauczania, planów lekcji i warsztatów przeznaczonych dla osób indywidualnych oraz dla grup; przygotowywanie i prezentowanie materia³ów";
2411;Specjaliœci do spraw ksiêgowoœci i rachunkowoœci;Specjaliœci do spraw ksiêgowoœci i rachunkowoœci zajmuj¹ siê planowaniem systemów rachunkowoœci na potrzeby osób indywidualnych i przedsiêbiorstw, organizowaniem ich i administrowaniem nimi. Prowadz¹ badania i analizy, zajmuj¹ siê kontrol¹ ewidencji ksiêgowej i sprawozdañ finansowych w celu zapewnienia ich dok³adnoœci i zgodnoœci z obowi¹zuj¹cymi standardami rachunkowoœci i praktykami ksiêgowymi.;"Zadania wykonywane przez specjalistów do spraw ksiêgowoœci i rachunkowoœci ujêtych w tej grupie zazwyczaj obejmuj¹: udzielanie porad z zakresu zasad funkcjonowania systemów bud¿etowych, kontroli rachunkowoœci, innych systemów rachunkowoœci oraz ich planowanie i wdra¿anie; przygotowywanie i poœwiadczanie sprawozdañ finansowych przedstawianych zarz¹dowi, udzia³owcom i organom ustawowym lub innym; przygotowywanie deklaracji podatkowych, udzielanie porad z zakresu problemów podatkowych i reprezentowanie przedsiêbiorstw w urzêdach podatkowych w sprawie spornych roszczeñ; przygotowywanie prognoz zysków i bud¿etów lub sporz¹dzanie sprawozdañ na ich temat; przeprowadzanie dochodzeñ finansowych w takich sprawach jak: podejrzenia o nadu¿ycia finansowe, niewyp³acalnoœæ i upad³oœæ; poddawanie audytowi rachunków i dokumentacji ksiêgowej; prowadzenie dochodzeñ w sprawie finansowych aspektów wydajnoœci pracy, pakietów udzia³ów, sprzeda¿y nowych produktów i doradzanie zarz¹dowi w tych kwestiach; opracowywanie i kontrolowanie systemu umo¿liwiaj¹cego okreœlanie kosztów jednostkowych produktów i us³ug; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
2412;Doradcy finansowi i inwestycyjni;"Doradcy finansowi i inwestycyjni zajmuj¹ siê opracowywaniem planów finansowych dla osób prywatnych i organizacji oraz inwestowaniem funduszy i zarz¹dzaniem nimi w imieniu tych osób oraz organizacji; doradztwem podatkowym, inwestycyjnym i emerytalnym.";"Zadania wykonywane przez doradców finansowych i inwestycyjni ujêtych w tej grupie zazwyczaj obejmuj¹: tworzenie i utrzymywanie bazy klientów; przeprowadzanie wywiadów z klientami w celu okreœlenia ich statusu finansowego, celów finansowych i stopnia ryzyka oraz uzyskania innych informacji niezbêdnych do opracowania planów finansowych i strategii inwestycyjnych; ustalanie celów finansowych oraz opracowywanie i wdra¿anie strategii s³u¿¹cych osi¹ganiu tych celów; organizowanie zakupu i sprzeda¿y akcji i obligacji na rzecz klientów; monitorowanie wyników inwestycji oraz analizowanie i weryfikowanie planów inwestycyjnych opieraj¹cych siê na zmodyfikowanych potrzebach i zmianach na rynkach; rekomendowanie i zapewnianie ubezpieczenia klientów. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
2413;Analitycy finansowi;Analitycy finansowi (gie³dowi, kredytowi, bankowi, ubezpieczeniowi) zajmuj¹ siê przeprowadzaniem iloœciowych analiz informacji wp³ywaj¹cych na programy inwestycyjne instytucji publicznych lub osób prywatnych.;"Zadania wykonywane przez analityków finansowych ujêtych w tej grupie zazwyczaj obejmuj¹: analizowanie informacji finansowych w celu przygotowywania prognoz dotycz¹cych przedsiêbiorstwa, bran¿y i warunków gospodarczych, które s¹ wykorzystywane podczas podejmowania decyzji inwestycyjnych; gromadzenie wiedzy i aktualnych informacji na temat osi¹gniêæ w dziedzinie technologii przemys³owej, biznesu, finansów i teorii ekonomicznych; interpretowanie danych wp³ywaj¹cych na programy inwestycyjne, takich jak: cena, produkcja, stabilnoœæ, przysz³e tendencje w dziedzinie zagro¿eñ inwestycyjnych i wp³ywy gospodarcze; monitorowanie osi¹gniêæ gospodarczych, przemys³owych i korporacyjnych poprzez analizowanie informacji pozyskiwanych z publikacji i s³u¿b finansowych, firm bankowoœci inwestycyjnej, agencji rz¹dowych, publikacji handlowych, Ÿróde³ przedsiêbiorstwa i wywiadów przeprowadzanych osobiœcie; rekomendowanie inwestycji i terminów inwestowania przedsiêbiorstwom, pracownikom firm inwestycyjnych lub osobom zajmuj¹cym siê inwestowaniem; ustalanie cen, po których papiery wartoœciowe powinny byæ sprzedawane i oferowane na rynku; przygotowywanie, w oparciu o analizy finansowe, planów dzia³ania dotycz¹cych inwestycji; ocenianie i porównywanie wzglêdnej jakoœci ró¿nych papierów wartoœciowych w danej bran¿y; przedstawianie ustnych i pisemnych sprawozdañ dotycz¹cych ogólnych tendencji gospodarczych, poszczególnych przedsiêbiorstw i ca³ej bran¿y; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
2421;Specjaliœci do spraw zarz¹dzania i organizacji;Specjaliœci do spraw zarz¹dzania i organizacji pomagaj¹ organizacjom w osi¹ganiu wiêkszej wydajnoœci i w rozwi¹zywaniu problemów organizacyjnych. Zajmuj¹ siê badaniem struktur, metod, systemów i procedur organizacyjnych zwiêkszaj¹cych;"Zadania wykonywane przez specjalistów do spraw zarz¹dzania i organizacji ujêtych w tej grupie zazwyczaj obejmuj¹: udzielanie pomocy w okreœlaniu strategii i planów, których celem jest zadowolenie klientów, wydajne wykorzystywanie zasobów organizacji oraz motywowanie do okreœlania celów, strategii i planów; analizowanie i ocenianie systemów zarz¹dzania i struktur organizacyjnych instytucji, przedsiêbiorstwa w celu ich doskonalenia bior¹c pod uwagê wszystkie poziomy struktury organizacji; analizowanie istniej¹cych i proponowanych metod i procedur, takich jak procedury administracyjne i urzêdnicze; dokumentowanie, analizowanie i rekomendowanie propozycji dokonania zmiany metod, procedur i toku pracy, przedefiniowania funkcji pracy i rozwi¹zania problemów organizacyjnych; wspieranie wdro¿enia zatwierdzonych zaleceñ, wydawania zmienionych instrukcji dotycz¹cych procedury pozyskiwania funduszy, realizacji projektów oraz innych dokumentów; dokonywanie rewizji procedur operacyjnych i udzielanie porad z zakresu odstêpstw od procedur i standardów, itp.; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
2422;Specjaliœci do spraw administracji i rozwoju;"Specjaliœci do spraw administracji i rozwoju zajmuj¹ siê opracowywaniem i analizowaniem polityki stanowi¹cej podstawê tworzenia, wdra¿ania i modyfikacji programów rz¹dowych i handlowych; pe³ni¹ funkcje administracyjne i kontrolne wewn¹trz s³u¿b publicznych (pañstwowych i samorz¹dowych) oraz w organizacjach zajmuj¹cych siê rozwojem przemys³u, transportu, us³ug gastronomicznych, hotelarskich i turystycznych, planowania strategicznego, stosunków miêdzynarodowych, zarz¹dzania s³u¿b¹ zdrowia, zamówieñ publicznych oraz zarz¹dzania kryzysowego.";"Zadania wykonywane przez specjalistów do spraw administracji i rozwoju ujêtych w tej grupie zazwyczaj obejmuj¹: przygotowywania analiz z obszaru i tematyki swojego dzia³ania; podejmowanie decyzji administracyjnych w zakresie posiadanych uprawnieñ; ocenê skutecznoœci i celowoœci polityki gospodarczej regionu lub jednostki administracyjnej oraz formu³owanie propozycji zmian; dokonywanie przegl¹du istniej¹cych polityk i ustawodawstwa w celu wykrycia nieprawid³owoœci i nieaktualnych przepisów; badanie tendencji spo³ecznych, gospodarczych i przemys³owych oraz oczekiwañ klientów zwi¹zanych z zapewnianymi programami i us³ugami; formu³owanie i analizowanie wariantów polityki, przygotowywanie materia³ów informacyjnych i zaleceñ dotycz¹cych zmian polityki oraz doradzanie w zakresie preferowanych wariantów; ocenianie wp³ywów, skutków finansowych, wzajemnych relacji z innymi programami oraz politycznych i administracyjnych aspektów realizacji polityk; przeprowadzanie oceny zagro¿eñ i ryzyka oraz opracowywanie zaleceñ; dokonywanie przegl¹du operacji i programów w celu zapewnienia ich zgodnoœci z polityk¹ organizacji; opracowywanie raportów i ekspertyz dla swoich prze³o¿onych; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
2423;Specjaliœci do spraw zarz¹dzania zasobami ludzkimi;Specjaliœci do spraw zarz¹dzania zasobami ludzkimi zajmuj¹ siê œwiadczeniem profesjonalnych us³ug biznesowych zwi¹zanych z rozwi¹zywaniem problemów zatrudnionego personelu, takimi jak: rekrutacj¹ i selekcj¹ kandydatów do pracy, zarz¹dzaniem talentami, doradztwem personalnym i zawodowym, kultur¹ firmy, wynagrodzeniami, analiz¹ zadañ wykonywanych przez pracowników na stanowiskach pracy.;"Zadania wykonywane przez specjalistów do spraw zarz¹dzania zasobami ludzkimi ujêtych w tej grupie zazwyczaj obejmuj¹: doradzanie w kwestiach rekrutacji i zatrudnienia kandydatów do pracy, polityki awansów i wynagrodzeñ, stosunków pracowników z pracodawcami lub w innych obszarach polityki kadrowej; badanie i analizowanie pracy na poszczególnych stanowiskach z u¿yciem ró¿nych metod; przeprowadzanie wywiadów z pracownikami, prze³o¿onymi i kierownictwem oraz sporz¹dzanie na podstawie uzyskanych informacji szczegó³owych opisów stanowiska pracy lub zawodu; przygotowywanie informacji zawodowych o zawodach i mo¿liwoœciach zatrudnienia dla m³odzie¿y, osób poszukuj¹cych pracy oraz osób pragn¹cych zmieniæ pracê; udzielanie indywidualnych i grupowych porad zawodowych; analizowanie mo¿liwoœci zatrudnienia, wyboru zawodu i mo¿liwoœci podejmowania dalszego kszta³cenia lub szkolenia oraz doradzanie w tym zakresie; œwiadczenie us³ug z zakresu miêdzynarodowego poœrednictwa pracy oraz doradztwa z zakresu warunków ¿ycia i pracy w krajach Unii Europejskiej i Europejskiego Obszaru Gospodarczego; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
2424;Specjaliœci do spraw szkoleñ zawodowych i rozwoju kadr;Specjaliœci do spraw szkoleñ i rozwoju kadr zajmuj¹ siê planowaniem, opracowywaniem, wdra¿aniem i ocenianiem programów szkoleñ i œcie¿ek rozwoju zawodowego pracowników, maj¹cych na celu kszta³towanie umiejêtnoœci i kompetencji pracowniczych niezbêdnych do osi¹gniêcia celów organizacyjnych.;"Zadania wykonywane przez specjalistów do spraw szkoleñ i rozwoju kadr ujêtych w tej grupie zazwyczaj obejmuj¹: okreœlanie potrzeb i wymogów szkoleniowych osób prywatnych i organizacji; okreœlanie celów rozwoju kadr i ocenianie efektów uczenia siê; przygotowywanie i opracowywanie instrukta¿owych materia³ów szkoleniowych i pomocy, takich jak: podrêczniki, pomoce audiowizualne, zajêcia dostêpne on-line, oraz dokumenty referencyjne wspieraj¹ce szkolenie; opracowywanie, koordynowanie, planowanie i realizowanie programów szkoleñ i rozwoju zawodowego pracowników; organizowania warsztatów, spotkañ, pokazów i konferencji oraz wspó³praca z firmami szkoleniowymi (zewnêtrznymi podmiotami prowadz¹cymi szkolenia) w tym zakresie; promowanie szkoleñ i rozwoju wewn¹trz firmy i poza ni¹ oraz dokonywanie oceny dzia³alnoœci promocyjnej; monitorowanie, przeprowadzanie bie¿¹cej oceny jakoœci i skutecznoœci szkoleñ wewnêtrznych i szkoleñ organizowanych poza firm¹; gromadzenie specjalistycznej";
2431;Specjaliœci do spraw reklamy i marketingu;Specjaliœci do spraw reklamy i marketingu zajmuj¹ siê opracowywaniem i koordynowaniem strategii i kampanii reklamowych, ustalaniem rynku dla nowych towarów i us³ug oraz okreœlaniem i tworzeniem mo¿liwoœci rynkowych dla nowych i ju¿ istniej¹cych towarów i us³ug.;"Zadania wykonywane przez specjalistów do spraw reklamy i marketingu ujêtych w tej grupie zazwyczaj obejmuj¹: planowanie, opracowywanie, organizowanie kampanii reklamowych i przyjmowanie strategii kampanii reklamowych; doradzanie mened¿erom i klientom, jak¹ strategie przyj¹æ, aby umo¿liwiæ dotarcie do rynków docelowych; budowanie œwiadomoœci konsumentów i skuteczne promowanie zalet towarów i us³ug; pisanie tekstów reklamowych i scenariuszy medialnych; organizowanie produkcji reklamowych programów telewizyjnych i filmowych oraz zamieszczania informacji o nich w mediach; analizowanie danych dotycz¹cych wzorców zachowañ i preferencji konsumentów; interpretowanie i prognozowanie aktualnych i przysz³ych tendencji zachowañ rynkowych konsumentów; badanie potencjalnego popytu i charakterystyki rynku, które dotycz¹ nowych towarów i us³ug oraz gromadzenie i analizowanie danych oraz innych informacji statystycznych; wspieranie rozwoju przedsiêbiorstwa poprzez przygotowywanie i realizowanie celów, strategii i programów marketingowych; zlecanie i przeprowadzanie badania rynku w celu okreœlenia mo¿liwoœci rynkowych dotycz¹cych nowych lub ju¿ istniej¹cych towarów i us³ug; doradzanie w sprawie wszystkich elementów marketingowych, takich jak mix produktów, ustalanie cen, reklama i promocja sprzeda¿y, sprzeda¿ i kana³y dystrybucji, itp.; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
2432;Specjaliœci do spraw public relations;Specjaliœci do spraw public relations zajmuj¹ siê planowaniem, opracowywaniem, wdra¿aniem i ocenianiem strategii informacyjno-komunikacyjnych tworz¹cych zrozumienie i korzystny obraz przedsiêbiorstw i innych organizacji, ich towarów i us³ug oraz ich roli w spo³eczeñstwie.;"Zadania wykonywane przez specjalistów do spraw public relations ujêtych w tej grupie zazwyczaj obejmuj¹: planowanie i organizowanie kampanii reklamowych i strategii komunikacyjnych; doradzanie pracownikom szczebla kierowniczego w sprawie wp³ywu ich polityki, programów i praktyk na kwestie public relations w zakresie przygotowywania oraz kontrolowania informacji i komunikatów prasowych; przeprowadzanie i zlecanie badañ opinii publicznej, analizowanie ich wyników oraz planowanie kampanii public relations i kampanii promocyjnych;";
