regon;nazwa;pkd07
26063292200028;Beniamin Jasik BENSON                                                                                                   ;4791Z
25093317500032;"FIRMA ""SERAFIN"" KAROL SERAFINIAK                                                                                        ";4511Z
67064915000022;"Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ""IZTOM"" Kazimierz Nędzka                                                 ";5610A
30261714900033;Spec-Alu Robert Otworowski                                                                                              ;3311Z
43006234700010;Sklep Spożywczy Edward Świątkowski                                                                                      ;4711Z
33106217000020;"PRZEDSIĘBIORSTWO PRODUKCYJNO- HANDLOWO- USŁUGOWE ""PLASTPOM"" BEATA SZWABIS                                               ";2222Z
29122063500021;PRZEDSIĘBIORSTWO REMONTOWO - BUDOWLANE A-Z Elektryka GRZEGORZ LESZCZYŃSKI                                               ;0322Z
51949223400045;HORYZONT SEBASTIAN JĘDRZEJCZAK                                                                                          ;5610A
22003135500024;"""U BATOREGO"" Grzegorz Czarnomski                                                                                        ";5610A
19183374300020;AGO LESZEK JERECZEK                                                                                                     ;4941Z
71001288700036;ARKADIUSZ ANTONI JASTRZĘBSKI ARKAS-TRANS  USŁUGI TRANSPORTOWE                                                           ;4799Z
36444928700019;"""RENIDOM"" wynajem mieszkań Renata Godlewska                                                                             ";6820Z
32028373400026;Zakład Mechaniczno-Usługowy Janusz Bielicz Ramlewo 42/5 78-120 Gościno                                                  ;4711Z
23019593600127;INTERHURT RYSZARD KULCZYCKI                                                                                             ;4711Z
14441641800020;RAPEED - ANDRZEJ BUDNIAK                                                                                                ;4941Z
49072194900133;"Firma Handlowa ""MIKULEC""  Andrzej Mikulec                                                                               ";4719Z
65000011700100;JERZY OTHANIEL PRZEDSIĘBIORSTWO HANDLOWO-PRODUKCYJNE                                                                    ;4799Z
20075839200020;ZEDO TEAM Przemysław Zdanewicz                                                                                          ;4711Z
08104744100020;TLM Katarzyna Hołodowska                                                                                                ;7490Z
34070102100026;Usługi Ratowniczo - Pielęgniarskie DOROTA SZMULAND-PAŁECZKA                                                             ;8690B
91090801100020;"RADOSŁAW GAWROŃSKI PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""SELEKT""                                                          ";4520Z
14230006000097;AJMAX Jacek Matuszewski                                                                                                 ;5610A
16025172600029;"Marek ANDRUSYSZYN ZAKŁAD REMONTOWO-BUDOWLANO-USŁUGOWY ""MARABUD""                                                         ";4711Z
27628392300045;"""NIERUCHOMOŚCI JARZYŃSCY"" JARZYŃSKI KRZYSZTOF                                                                           ";6831Z
34047331800023;"""MAGDALENKA"" MAGDALENA PALIWODA                                                                                         ";4711Z
36042287700025;MAŁGORZATA BROKOS INTER FOTO                                                                                            ;7420Z
36444928700026;"""RENIDOM"" wynajem mieszkań Renata Godlewska                                                                             ";6820Z
19264630000020;FIRMA TRANSPORTOWO-HANDLOWO-USŁUGOWA ZENRAD RADOSŁAW CHABOWSKI                                                          ;4719Z
24186197100034;RESTAURACJE AGNIESZKA KURZEJA                                                                                           ;5610A
19014192500054;"Marzenna Zagórska F.H.U. ""ŁASUCH""                                                                                       ";4711Z
36189552000088;P.U.H. HERING Patryk Hering * Foodmarc S.C. Marek Lipski, Patryk Hering                                                 ;5610A
22003135500031;"""U BATOREGO"" Grzegorz Czarnomski                                                                                        ";5610A
29068945900038;FIRMA HANDLOWO-USŁUGOWA AWIM ANITA WARCHAŁOWSKA                                                                         ;5610A
49288969900092;COLLOSSUS                                                                                                               ;5610A
12151069300023;"1/ HELMUT CAFE Szymon Zając; 2/ PIJ WIDELCEM                                                                            ";5610A
30024698000028;BALTUR TECHNIKA GRZEWCZA  MILLENA ZAJĄCZKOWSKA-KABACIŃSKA                                                               ;9602Z
36124886100010;"Patrycja Grajkowska- ""MADAME""                                                                                           ";7420Z
61139892300025;HUMAC POLSKA JACEK ROSUŁ                                                                                                ;6820Z
14728347800024;KANDZ Konrad Zagórski                                                                                                   ;5610A
27294653900035;"""Co by tu zjeść? Hashimoto""                                                                                             ";4791Z
61107049900040;K & L KINGA BARANOWSKA                                                                                                  ;6820Z
51063974700030;Krzysztof Maciak                                                                                                        ;8690E
20029322000038;HLEMAR Marlena Antoniuk                                                                                                 ;4941Z
14184551500028;Katarzyna Głąb HANDEL I USŁUGI                                                                                          ;1413Z
93299017100029;MIROIL MIROSŁAW WYGAŚ                                                                                                   ;7490Z
34152973600024;Marcin Korzeniewski Smart It                                                                                            ;6312Z
27759976900021;Łukasz Sikora                                                                                                           ;5610B
73162679400023;Robert Jarosławski Kupno - sprzedaż pojazdów, import - export                                                           ;4511Z
27794366900049;Przedsiębiorstwo Handlowo-Usługowe Bożena Chłobuszewska                                                                 ;4711Z
01268531300037;AMIDENT JACEK KAŁUŻNY                                                                                                   ;3250Z
97060034100051;"""Przedsiębiorstwo Handlowo-Usługowe"" Dorota Dłużak                                                                      ";4711Z
27812556500070;SIMSEY ZYBER ARKADIUSZ                                                                                                  ;5610A
32006501000053;PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWO-HANDLOWE ,, CALDREW'' EWELINA BOROS-SMOLIŃSKA                                     ;1610Z
10127382000031;Robert Łyżwa GOMAR MOTORYZACJA                                                                                          ;4520Z
37114692800030;FIRMA HANDLOWA BARBARA I JACEK SZPAK S.C.                                                                               ;4711Z
43272995600027;EWA SURMA                                                                                                               ;4711Z
36323412000010;SALVE Sylwester Biel                                                                                                    ;4711Z
89132130000084;BACKPOL PIEKARNIA -CUKIERNIA WIOLETTA TYNIEC                                                                            ;4711Z
89025540000035;Warsztat samochodowy                                                                                                    ;4520Z
61000668300040;"'NA ZDROWIE"" KRZYSZTOF LEWANDOWSKI                                                                                      ";4941Z
18082125000098;"F.H.U. PERFEKT PLUS KRZYSZTOF PAŚCIAK ""DELIKATESY KOSINA""                                                               ";4711Z
00811392700023;"Dariusz Bulzacki 1.FIRMA HANDLOWA ""DARIUSZ BULZACKI"" 2. FIRMA POGRZEBOWA BULZACKI PHU-S.C.                              ";3299Z
91030013700039;"P.P.H.U.""MARKAS""Marcin Skowroński                                                                                       ";4941Z
81041705500083;ZNICZE-WKŁADY DANUTA PRUSINOWSKA                                                                                        ;4789Z
93150833800043;TRANSPORT BETONU WALDEMAR ŁUKASZEWICZ                                                                                   ;4941Z
27064919700024;FAMILY FORST POLSKA SPÓŁKA AKCYJNA ODDZIAŁ W KRZESZOWICACH                                                              ;4799Z
55037793101105;Sklep Delikatesy Mięsne                                                                                                 ;4711Z
32041241000020;"SKLEP WIELOBRANŻOWY ""NATKA"" RUMOCKA DANUTA                                                                              ";4711Z
18031851500059;J.TURYN ACADEMY RZESZÓW, AUTO-KOMIS KAMIL ZALEWSKI                                                                      ;4511Z
36435108000018;""" Stamad"" Katarzyna Stańczyk                                                                                            ";4799Z
37018259500038;"MARIUSZ HUĆKO 1.PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO- USŁUGOWE""JAKR"" 2.""Góra Olimp"" S.C. Mariusz Hućko, Tomasz Orłowski";5610A
00347202400090;"GĘBICKI WITOLD 1.PHU ""WITPOL"" 2.PANAMERA SPÓŁKA CYWILNA WITOLD GĘBICKI, JACEK KANIA                                     ";4779Z
07279026200041;Grzegorz Cembala                                                                                                        ;6499Z
61016448800010;"PPHU ""OLEK"" - Aleksander Bednarek                                                                                       ";4711Z
30071000500020;PHU JARANET JAROSŁAW WSZÓŁ                                                                                              ;6120Z
22055524200024;ROZRUSZNIK.EU ROBERT WILLICH                                                                                            ;4531Z
33001625000027;"AGENCJA ""SAM - MECH"" INŻ. JANUSZ PRECKAJŁO                                                                              ";4520Z
77127430600024;Usługi Transportowe Marcin Sadowski                                                                                     ;4941Z
28030991500022;GRUDZIŃSKI PIOTR                                                                                                        ;1629Z
27297901300079;"1. P.P.H.U. ""WA-BI"" DARIUSZ BIAŁOŻYT2 "" SIDAR ""S.C. DARIUSZ BIAŁOŻYT ,DAMIAN ZADĘCKI                                    ";4711Z
09234064900031;Waldemar Lamparski Centrum Kwiatowo - Ogrodnicze                                                                        ;6820Z
36330163100010;Jacek Stefaniak - Usługi pielęgniarskie JAST- UP                                                                        ;8690C
36318433200020;Daniela Kawa                                                                                                            ;4711Z
36394057800012;FATMA MANSUR HASAN AL-AOEED                                                                                             ;5610A
91013082400146;"Przedsiębiorstwo Handlowo-Usługowe ""RAMB"" Ryszard Arciszewski                                                           ";3511Z
59035395100039;Beata Grzegorzewska                                                                                                     ;6820Z
14241085400020;MAŁGORZATA CISZKOWSKA DONAT S.C.                                                                                        ;4711Z
71200665500024;A2TRUCK.PL Mariusz Jastrzębski                                                                                          ;4519Z
12027864000028;RODZINNE CENTRUM POŁOŻNICZE  KOALA                                                                                      ;8690C
10164549200023;Sklep Spożywczo-Przemysłowy. Bar Piwny. Małgorzata Bujacz                                                               ;4711Z
19264630000037;FIRMA TRANSPORTOWO-HANDLOWO-USŁUGOWA ZENRAD RADOSŁAW CHABOWSKI                                                          ;4719Z
19184593000069;SMT SPÓŁKA AKCYJNA ODDZIAŁ GDYNIA                                                                                       ;5911Z
14732135100022;JAGODOWE POLE MARZENA MINOR                                                                                             ;1419Z
22192997000031;AKSUB Adrian Klein                                                                                                      ;5610A
47090071600068;ET INVEST JAROSŁAW PIECZYKOLAN                                                                                          ;6820Z
45006147300044;HENMAR WILCZEK HENRYK                                                                                                   ;4941Z
36241972100017;OŁTASZYNEK PORADNIA DLA DZIECI                                                                                          ;8690A
81068033800021;LEBIODA SŁAWOMIR                                                                                                        ;4941Z
00434309100061;Z.HiP.R JUMI BOGDAN MICHALSKI                                                                                           ;9329Z
12307920700020;JANUSZ BOGDAŁ CELJAN                                                                                                    ;8299Z
00337545600048;"PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE ""BEST"". IMIELIŃSKI MACIEJ                                                ";5610A
29006340600031;SKUP SPRZEDAŻ KOMIS SAMOCHODÓW DARIUSZ KURKIEWICZ                                                                       ;4511Z
32087762300021;"""Stal-Bud"" - Adam Piotr Kowalski                                                                                        ";3315Z
32153108000035;"""KOLOROWA BUDKA""JAROSŁAW PRUSINOWSKI                                                                                    ";5610B
20069861000054;LAGARTO Zbigniew Bochen                                                                                                 ;5610A
36304625100018;Indywidualna Praktyka Pielęgniarska Grażyna Szajt                                                                       ;8690C
39004882300039;Handel Artykułami Spożywczo-Przemysłowymi Grażyna Madecka                                                               ;4711Z
38603485300010;DALIMEX                                                                                                                 ;4791Z
93161742900049;SWOJSKIE JADŁO Krzysztof Dąbrowski                                                                                      ;5610A
14231396700026;PRO DEVELOPMENT MAŁGORZATA KURIATA                                                                                      ;6820Z
29109319000024;Firma Handlowo - Usługowa Tomasz Furmanek                                                                               ;4520Z
24169728200038;"MARIA KRYCH P.P.U.H. ""GATO"" SC M.J. KRYCH                                                                               ";5610A
00347202400043;"GĘBICKI WITOLD 1.PHU ""WITPOL"" 2.PANAMERA SPÓŁKA CYWILNA WITOLD GĘBICKI, JACEK KANIA                                     ";4511Z
00347202400068;"GĘBICKI WITOLD 1.PHU ""WITPOL"" 2.PANAMERA SPÓŁKA CYWILNA WITOLD GĘBICKI, JACEK KANIA                                     ";4779Z
00347202400082;"GĘBICKI WITOLD 1.PHU ""WITPOL"" 2.PANAMERA SPÓŁKA CYWILNA WITOLD GĘBICKI, JACEK KANIA                                     ";4779Z
00347202400130;"GĘBICKI WITOLD 1.PHU ""WITPOL"" 2.PANAMERA SPÓŁKA CYWILNA WITOLD GĘBICKI, JACEK KANIA                                     ";4511Z
30252145500022;Szpital Kliniczny im. Heliodora Święcickiego UM w Poznaniu                                                              ;8690E
30206822800030;ANNA KWIATKOWSKA PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE                                                                     ;4759Z
00389898700026;"LUCYNA KLAKLA FIRMA HANDLOWA "" POLONIA ""                                                                                ";4782Z
22038065300028;"FIRMA HANDLOWO USŁUGOWA "" NATURA"" RYSZARD STEFANOWSKI                                                                   ";4711Z
19303067500033;Sławomir Szczypior                                                                                                      ;4711Z
63027675700118;DRAGON Technika Diamentowa                                                                                              ;4399Z
20070232200022;naliwajko.pl Andrzej Naliwajko                                                                                          ;4791Z
81243478000040;"SŁAWOMIR KWIATKOWSKI ""FUKS""                                                                                             ";4511Z
47141217200080;IMPASTO PLUS RAFAŁ PROMIŃSKI                                                                                            ;4711Z
55032954700149;Nieruchomość                                                                                                            ;6820Z
18069629800030;TOLBAR Natalia Szkotnicka                                                                                               ;9602Z
93077384800063;FIRMA USŁUGOWO-HANDLOWA EWA CIEPŁA                                                                                      ;9602Z
69044972500028;"F.H.U. ""ANDY"" Andrzej Lisowicz                                                                                          ";4540Z
81066172000036;FHU MSK PLINTA SYLWIA                                                                                                   ;4789Z
77144162600055;Artur Kujałowicz Połów. Skup i Sprzedaż Ryb                                                                             ;4638Z
07058452900140;SALON KAWY I WINA                                                                                                       ;4711Z
97800167000117;"NORBERT PERSKI ""ZŁOTA RYBKA""                                                                                            ";8510Z
26079787600061;Centrum Dietetyki PROVITA                                                                                               ;8690E
12069761400021;"ŁUKASZ ZIĘBORAK   F.H.U.  ""ZIOMBEK""                                                                                     ";4711Z
83035826500040;PRZEDSIĘBIORSTWO WIELOBRANŻOWE - PIOTR GAJEK                                                                            ;4711Z
19094334600010;Tomasz Skwiercz                                                                                                         ;6820Z
32127873500020;MASAŻ LECZNICZY - REHABILITACJA RUCHOWA JACEK KOWALIK                                                                   ;8690A
09250848000035;BEATA PADUCH                                                                                                            ;4711Z
87163986800063;"""FIRMA HANDLOWA GALCZEWSKI"" HENRYK GALCZEWSKI                                                                           ";6820Z
35128960300048;"Jacek Ptasiński FIRMA USŁUGOWO - HANDLOWA ""PTASIŃSKI""                                                                   ";4711Z
08102254700075;ROYAL DONER KEBAP AHMET PALTA                                                                                           ;5610A
38003635400023;MARBUD - OKOŃ Artur Okoń                                                                                                ;5610A
24367747300038;ILUMILU Aleksandra Glińska                                                                                              ;4791Z
61000460300041;SKLEP OGÓLNOSPOŻYWCZY DARIUSZ STASIAK                                                                                   ;4711Z
15009425200040;"Kazimierz Ignasiak - Zakład Budowy Instalacji Elektrycznych ""ELBIS""                                                     ";6820Z
24328695600027;PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE FLOTA MICHAŁ WISZOWATY                                                               ;4120Z
24192385000045;Wspólnik Spółki Cywilnej AL-SYSTEM GABRIELA KWIATOŃ                                                                     ;4711Z
27248080000035;IWONA MAŚLANY-NOWAK SKLEP SPECJALISTYCZNEGO ZAOPATRZENIA MEDYCZNEGO I ORTOPEDYCZNEGO                                    ;4782Z
14072605600036;"1) OSTEOMET ; 2) POLSKA SZKOŁA OSTEOPATII IRENEUSZ CZAPSKI 3. ARAYA LINE 4. IZOBUDMAX                                   ";8690A
14006669000048;"""POLIMPEX"" Serhat TOPTÜRK                                                                                               ";4531Z
15069735800058;"WIESŁAW BRZOZOWSKI P.P.H.U ""CONTEST""                                                                                    ";4643Z
32078937900020;USŁUGI POŁOŻNICZE MONIKA SURZYN                                                                                         ;8690C
36336658200021;FIRMA HANDLOWA JADWIGA KWIATKOWSKA                                                                                      ;4711Z
57021701106190;TERG SPÓŁKA AKCYJNA                                                                                                     ;5210B
43058295700092;DE ART  LESZEK PAWEŁ RATUS                                                                                              ;6820Z
63069852400029;"""HASKO"" BIURO WYCEN NIERUCHOMOŚCI ŁAJMA MIESZCZANOWICZ                                                                  ";6831Z
20018928000060;"FIRMA HANDLOWA ""NIKOL"" PIOTR BOROWIK                                                                                    ";4782Z
14031239500030;Katarzyna Wojtaś PUH AUTOKOMPLEKS                                                                                       ;4520Z
32042909500021;INDYWIDUALNA PRAKTYKA PIELĘGNIARSKA MARZENA ALINA ADAMSKA                                                               ;8690C
81041705500090;ZNICZE-WKŁADY DANUTA PRUSINOWSKA                                                                                        ;4789Z
89113422000025;SALON FRYZUR ROBERT WYPYCH                                                                                              ;9602Z
45016601900040;"PHUP ""KARPIU"" ANDRZJ KARPIŃSKI                                                                                          ";4778Z
13085253800024;GRZEGORZ PAWŁOWSKI                                                                                                      ;4638Z
30052170600036;"P.P.H.U. Gastronomia ""Bel Paese"" Piotr Rybak                                                                            ";5610A
81232390900047;ART TOP PIĘKNE MEBLE URSZULA NOWACKA                                                                                    ;4759Z
51035654100068;LECH SERWOTKA MALWA                                                                                                     ;0322Z
27386687700020;SZPYRA MARIA SKLEP OGÓLNOSPOŻYWCZY - WIELOBRANŻOWY                                                                      ;4711Z
35629746400022;"JANINA ŻABIŃSKA F.P.H.U  ""PANDA""                                                                                        ";4719Z
18000073000043;"NZOZ MEDYCZNE LABORATORIUM DIAGNOSTYCZNE ""LABOX""                                                                        ";8690E
14688313000020;Holisfera ADAM SIUDA                                                                                                    ;8690D
24175092900024;DOROTA MARCINKOWSKA GABINET PODOLOGICZNY                                                                                ;8690D
28149581900034;JĘDRZEJ PŁUSSA                                                                                                          ;4711Z
47219947300039;PROBIS JACEK MICHALAK                                                                                                   ;6820Z
14655603000025;KWADRAT PIOTR JANISZEWSKI                                                                                               ;4120Z
12284229100024;MURZYN KRZYSZTOF FIRMA HANDLOWO USŁUGOWA                                                                                ;4711Z
14685545800025;"NZOZ ""EMILIA-MED"" EMILIA NARZYMSKA                                                                                      ";8690E
37089975500039;Julita Chudko-Szczerba Photography +                                                                                    ;7420Z
24287338000020;ANIMALCITY.PL FILIP MIKOŁAJCZYK                                                                                         ;4791Z
36319922700011;Sklep Spożywczo - Przemysłowy Ilona Lulińska                                                                            ;4711Z
36318524800010;Anna Rataj FHU G&R                                                                                                      ;4799Z
30234964800025;Smakuj Świat Magdalena Rajtar                                                                                           ;5610A
24305577700028;FIRMA HANDLOWA KATARZYNA GAŁWIACZEK                                                                                     ;5610A
27250602000026;PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE PIOTR RYMARCZYK                                                                      ;6820Z
36072061700023;FIRMA HANDLOWO - USŁUGOWA PRZEMYSŁAW JASION                                                                             ;4711Z
16024925000035;GASTRO NOVA HUBERT KOSTECKI                                                                                             ;5610A
09282272700023;Jan Zielinski Sklep spożywczo-przemysłowy nr 2                                                                          ;4711Z
45020127600047;1) MHM DOBKOWSKI DARIUSZ 2) DOBEK DARIUSZ DOBKOWSKI- WSPÓLNIK SPÓŁKI CYWILNEJ                                           ;6820Z
35645827500025;USŁUGI TRANSPORTOWE, KRAWCZYK GRAŻYNA                                                                                   ;4941Z
22083347400023;CARGO BALTIC AGENCY ARTUR ROGALSKI                                                                                      ;5229A
16155288400051;Zakład Rzeźniczo-Wędliniarski Tomasz Korzekwa                                                                           ;4711Z
30058665700030;PPHU-AKWARIUM Katarzyna Torba                                                                                           ;4789Z
00835371000082;Zakład Handlowo Usługowy Przemko Przemysław Jacniacki                                                                   ;4711Z
81084844700044;MARINE SERVICE JAROSZEWICZ DOROTA RATAJCZAK                                                                             ;3315Z
36166434100018;"Spożywczak ""AB"" Angelika Bodziona                                                                                       ";4711Z
36166462500013;Auto Serwis Bartosz Olkowski                                                                                            ;4520Z
02062830300038;"ANNA RUTA-STEFAŃSKA STUDIU URODY ""ANNA""                                                                                 ";9602Z
35134473300021;MARIUSZ TALAREK TRANSPORT CIĘŻAROWY                                                                                     ;4941Z
36453459600026;MACIEJ GRODNICKI                                                                                                        ;4711Z
25028924800034;KRZYSZTOF GRZEŚKOWIAK                                                                                                   ;4711Z
91085625400029;USŁUGI TRANSPORTOWE REMIGIUSZ WŁODARSKI                                                                                 ;4941Z
01520396400024;OBSŁUGA TECHNICZNA PLANU FILMOWEGO WALDEMAR SARNICKI                                                                    ;5911Z
07049492100037;FOX RYSZARD FOKSIŃSKI                                                                                                   ;4941Z
36448617600010;AL-KO GAZ ALEKSANDER KOWSZEWICZ                                                                                         ;4520Z
36455707700011;Iwona Raczyńska                                                                                                         ;4779Z
14672692700027;P.W. SEBO-TRANS SEBASTIAN SOBOLEWSKI                                                                                    ;4941Z
53237596900034;BURMAN DANIEL SYLWESTER BURMAN D.S.                                                                                     ;6831Z
22069063200077;ROW-TOUR JANETTA MIKSZA                                                                                                 ;6820Z
12013015500033;AUTO-SERWIS MARIUSZ URBAŚ                                                                                               ;4520Z
59075056300166;FIRMA CATERINGOWA KRZYSZTOF MAZIARZ                                                                                     ;5610A
41117027300026;Gardenia Ogrody Urody Izabela Malcher                                                                                   ;8690A
47028998200060;HANDEL-USŁUGI ANNA JELONEK                                                                                              ;4711Z
36432443300010;"JOLANTA MOMOT-ŻUŁAWSKA WARZYWNI""OK""                                                                                     ";4781Z
55132917600025;RENATA LIWSKA Indywidualna Praktyka Pielęgniarska                                                                       ;8690C
23026772000033;",, GABRO PLUS "" KRZYSZTOF JADACHOWSKI                                                                                   ";4799Z
36448089000018;ATRANSMEDICA                                                                                                            ;8690B
36452086100027;PPHU Anna Wojas-Kopecka                                                                                                 ;6619Z
85043156100099;JACEK MĄDEL USŁUGI TURYSTYCZNE I REGULARNY PRZEWÓZ OSÓB                                                                 ;4939Z
36089050300010;ARANŻACJE WNĘTRZ BOGUSŁAW ŚLUSARCZYK                                                                                    ;7410Z
85269549400030;MENCNER KRYSTYNA Sklep przemysłowo-spożywczy                                                                            ;4711Z
63201392100088;"WANDA SIĘBOR FIRMA HANDLOWO-USŁUGOWA ""WANVIR""                                                                           ";4719Z
19303067500026;Sławomir Szczypior                                                                                                      ;4711Z
19285573500021;ANTRARIS S.C. Tomasz Kowalczyk,Zbigniew Trafalski                                                                       ;4759Z
69175672500031;Biuro obsługi klienta                                                                                                   ;4791Z
24162590500023;CZARNY DIAMENT  MONIKA PIETROWSKA-KUCHARSKA                                                                             ;8690E
19197263400022;PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE BAKR BARBARA STRZYŻ                                                                  ;4711Z
22021293800020;"FIRMA HANDLOWO USŁUGOWA ""MAR-MAT"" - MAŁGORZATA PODGÓRSKA, MIECZYSŁAW PODGÓRSKI                                          ";3315Z
63019578600046;IRENA SIKORSKA                                                                                                          ;6312Z
36199708300019;LETS CELEBRATE Malwina Michalak                                                                                         ;4719Z
20068194000047;Michał Czaban                                                                                                           ;4711Z
55073812200022;GOSPODARSTWO ROLNE                                                                                                      ;0162Z
36228741000014;MITRANSPEX                                                                                                              ;4941Z
24117433100020;INDYWIDUALNA SPECJALISTYCZNA PRAKTYKA LEKARSKA ONKOLOGICZNA WOJCIECH MAJEWSKI                                           ;8690A
27377893700027;"PORWOŁ KRZYSZTOF P.P.H.U.""AGRO-MED""                                                                                     ";4719Z
38190299000019;DHAKA STAR KEBAB MD MEHEDI HASAN                                                                                        ;5610A
67014747700033;"""PASJA PIĘKNA"" Ewa Ogrzywalska                                                                                          ";9602Z
01182333900023;AGENCJA AKTORSKA OPTA s.c. Janina Tkaczyk - wspólnik spółki cywilnej                                                    ;7490Z
43060209700037;ADAM ISKRA                                                                                                              ;4399Z
81107815800020;SZOP WALDEMAR WALCZAK                                                                                                   ;9601Z
14341562900032;"WYPOŻYCZALNIA PRZYCZEP I LAWET ""JPJ"" Radosław Jagielski                                                                 ";7739Z
36440741000018;KAROL PACIOREK                                                                                                          ;4778Z
02077607300036;recznikipapierowe.pl Mateusz Skubiński                                                                                  ;4791Z
14118028600020;"STARSAT, PIOTR MICHAŁKIEWICZ; EDUS MEDIA - wspólnik spółki cywilnej                                                     ";4799Z
18112420400025;FOTO ADN Anna Domicela Niemiec                                                                                          ;7420Z
14704309900045;"""NEW KHAN"" KHAN AHMED SHAH                                                                                              ";5610A
10058795300278;DIWA KATARZYNA STOPCZYŃSKA                                                                                              ;4778Z
97061623000070;GRAŻYNA KASZEK E U R O - S T U D I O                                                                                    ;9602Z
30274365800027;MBM Marcin Bandurowski                                                                                                  ;4791Z
38499157900010;LŚNIĄCE AUTO Damian Czarow                                                                                              ;4799Z
38414526400018;SYSTEMA CENTRUM ZDROWIA                                                                                                 ;8690A
49187894300029;"Jacek Rydwański ""MotoElita""; wspólnik spółki cywilnej: CEPELIA                                                          ";7990A
34038000200037;Magdalena Rucińska                                                                                                      ;4711Z
32131583800030;STAL-DRUT MATEUSZ MODRZEJEWSKI                                                                                          ;4711Z
26018903600069;DACO PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE DAWID KOWALSKI                                                      ;5610A
24338763400024;KANCELARIA ADWOKACKA Katarzyna Główczewska                                                                              ;6820Z
19305566900026;Przedsiębiorstwo Produkcyjno Handlowe ERG Aleksandra Klatt-Jabłońska                                                    ;3511Z
49061315400043;Wynajem Lokali Użytkowych Irena Piechnik                                                                                ;6820Z
36023176900012;Agnieszka Domańska                                                                                                      ;8690C
36054036400015;COPERNICUS PL SP. Z O.O.                                                                                                ;8690C
36897578800015;ARDOM S.C. M.IŁOWIECKI I WSPÓLNICY ODDZIAŁ W WARSZAWIE                                                                  ;6820Z
24089031500193;SAB-MAR MARCIN BABIARCZYK                                                                                               ;5610A
59060997100076;Centrum AGA - RAD  Radosław Kosiada                                                                                     ;4782Z
27229474600036;"Firma Handlowo Usługowo Produkcyjna ""GM"" Maciążek Grzegorz                                                              ";4711Z
25072150400045;ZAKŁAD PRODUKCYJNO HANDLOWO USŁUGOWY KRZYSZTOF CICHOŃ                                                                   ;4711Z
63421986800020;ROBERT KOBYLAREK PRYWATNY GABINET LEKARSKI, WYNAJEM NIERUCHOMOŚCI                                                       ;6820Z
