id;nazwa;zadania;kod;zadania_en
1429;Produkcja pozostałej odzieży i dodatków do odzieży, gdzie indziej niesklasyfikowana;produkcja odzieży sportowej z tkanin o szerokim splocie, np. dresów, kombinezonów narciarskich, strojów kąpielowych i innej technicznej odzieży sportowej, produkcja kapeluszy i czapek, produkcja pozostałych dodatków odzieżowych, np. rękawiczek, pasków, szali, krawatów, fularów, siatek na włosy, produkcja obuwia z materiałów włókienniczych bez nakładanych podeszew, z wyjątkiem dzianych lub szydełkowanych;14.29;This class also includes:  manufacture of uniforms and similar official clothing , e.g. judgeâ€™s gowns, church vestments
1520;Produkcja obuwia;produkcja części obuwia z drewna;15.20; manufacture of footwear for all purposes, of any material, by any process, including moulding (see below for exceptions).manufacture of leather parts of footwear e.g. manufacture of uppers and parts of uppers, outer and inner soles, heels.manufacture of gaiters, leggings and similar articles. This class also includes:  manufacture of rubber, wooden or plastic parts of footwear
1520;Produkcja obuwia;produkcję części obuwia z gumy,;15.20; manufacture of footwear for all purposes, of any material, by any process, including moulding (see below for exceptions).manufacture of leather parts of footwear e.g. manufacture of uppers and parts of uppers, outer and inner soles, heels.manufacture of gaiters, leggings and similar articles. This class also includes:  manufacture of rubber, wooden or plastic parts of footwear
1520;Produkcja obuwia;produkcję części obuwia z plastiku;15.20; manufacture of footwear for all purposes, of any material, by any process, including moulding (see below for exceptions).manufacture of leather parts of footwear e.g. manufacture of uppers and parts of uppers, outer and inner soles, heels.manufacture of gaiters, leggings and similar articles. This class also includes:  manufacture of rubber, wooden or plastic parts of footwear
1611;Produkcja wyrobów tartacznych;piłowanie, heblowanie i obróbkę mechaniczną drewna,  rozcinanie na warstwy, korowanie lub struganie kłód, produkcję drewnianych podkładów kolejowych, produkcję drewnianych materiałów podłogowych niepołączonych, produkcję wełny drzewnej, mączki drzewnej, wiórów,;16.lis; sawing, planing and machining of wood.slicing, peeling or chipping logs.manufacture of wooden railway sleepers.manufacture of unassembled wooden flooring.manufacture outside the forest of wood wool, wood sawdust and flour, wood chips and particles. 
1612;Obróbka i wykończanie drewna;ogólna działalność związana z obróbką i wykończaniem drewna, zazwyczaj wykonywaną na zlecenie: wiercenie, toczenie, frezowanie, wiórkowanie, przeciąganie, wyrównywanie, szlifowanie, polerowanie, łączenie drewna i tym podobne, suszenie drewna, impregnację lub obróbkę chemiczną drewna, impregnację surowego drewna farbą, bejcą lub innymi środkami konserwującymi, pozostałą działalność związana z obróbką i wykończaniem drewna.;16.gru; general activities for the processing and finishing of wood, which are typically carried out on a fee or contract basis:  activities mostly done on a fee or contract basis: boring, turning, milling, broaching, levelling, , grinding, polishing, splicing etc. of wood.drying of wood.impregnation or chemical treatment of wood.treatment of wood in the rough with paint, stains or other preservatives.other activities of processing and finishing of wood. 
1621;Produkcja arkuszy fornirowych i płyt wykonanych na bazie drewna;produkcję arkuszy fornirowych odpowiednio cienkich w celu użycia ich do oklejania, produkcji sklejki lub innych celów: wygładzonych, barwionych, powlekanych, impregnowanych, wzmocnionych papierem lub materiałem, wykonanych w formie motywów, produkcję sklejki, płyt fornirowych i podobnych laminowanych płyt i arkuszy, produkcję płyt o wiórach zorientowanych (OSB) i pozostałych płyt wiórowych, produkcję średniej gęstości płyt pilśniowych (MDF) i pozostałych płyt pilśniowych, produkcję utwardzonego drewna, produkcję klejonego drewna warstwowego, drewna klejonego krzyżowo (CLT) oraz laminowanego drewna fornirowego, produkcję płyt pilśniowych izolacyjnych z drewna lub pozostałych materiałów drewnopodobynch, nawet połączonych żywicami lub innymi substancjami organicznymi.;16.21; manufacture of veneer sheets thin enough to be used for veneering, making plywood or other purposes: smoothed, dyed, coated, impregnated, reinforced (with paper or fabric backing).made in the form of motifs.manufacture of plywood, veneer panels and similar laminated wood boards and sheets.manufacture of oriented strand board (OSB) and other particle board.manufacture of medium density fibreboard (MDF) and other fibreboard.manufacture of densified wood.manufacture of glue laminated wood, cross-laminated timber (CLT) and laminated veneer wood. This class also includes:  manufacture of insulating fibreboards of wood, or other ligneous materials, whether or not bonded with resins or other organic substances
1622;Produkcja gotowych parkietów podłogowych; produkcję drewnianych bloków parkietowych, klepek itp. połączonych w formę płyt.;16.22; manufacture of wooden parquet floor blocks, strips etc., assembled into panels. 
1623;Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa;produkcję wyrobów z drewna przeznaczonych głównie dla budownictwa: belki, dźwigary, krokwie, rozpory dachowe, prefabrykowane wiązary dachowe z klejonego drewna warstwowego połączonego metalem, schody, balustrady, poręcze i ogrodzenia, gonty, dachówki, listwy dekoracyjne, listwy profilowe i podobne elementy drewniane, produkcję prefabrykowanych budynków lub ich elementów, z drewna, na przykład sauny, produkcję przenośnych domów i przyczep mieszkalnych, produkcję drewnianych ścianek działowych, do wbudowania na stałe, produkcję drewnianych stoisk wystawowych.;16.23; manufacture of wooden goods intended to be used primarily in the construction industry: beams, rafters, roof struts.glue-laminated and metal connected, prefabricated wooden roof trusses.stairs, railings.wooden beadings and mouldings, shingles and shakes.manufacture of prefabricated buildings, or elements thereof, predominantly of wood, e.g. saunas.manufacture of mobile homes and house trailers.manufacture of wood partitions (except free standing). This class also includes:  manufacture of wooden stands
1624;Produkcja opakowań drewnianych;produkcję futerałów, skrzyń, pudełek, klatek i podobnych artykułów drewnianych, produkcję palet, palet skrzyniowych i pozostałych opakowań transportowych z drewna, produkcję beczek, kadzi, balii i pozostałych wyrobów bednarskich, produkcję drewnianych bębnów kablowych.;16.24; manufacture of packing cases, boxes, crates, drums and similar items of wood.manufacture of pallets, box pallets and other load boards of wood.manufacture of barrels, vats, tubs and other coopers' products of wood.manufacture of wooden cable-drums. 
1625;Produkcja drzwi i okien z drewna;produkcję drzwi, ościeżnic i progów, z drewna, produkcję okien, okiennic i okien francuskich oraz ich ram, z drewna, produkcję drzwi i okien wielomateriałowych, z ramą wykonaną z drewna.;16.25; manufacture of doors and their frames and thresholds of wood.manufacture of windows, shutters and French windows and their frames, of wood.manufacture of multi-material doors and windows with the frame made of wood. 
1626;Produkcja paliw stałych z biomasy roślinnej;produkcję materiałów opałowych: brykietów, kłód i granulek, wykonywanych z aglomerowanych trocin, drewna odpadowego i ścinków drewnianych, słomy lub innej biomasy roślinnej.;16.26; manufacture of briquettes, fire logs and pellets from agglomerated sawdust, wood waste and scrap, straw or other vegetable biomass. 
1627;Wykończanie wyrobów drewnianych;procesy wykończające lub zabezpieczające powierzchnię wyrobów drewnianych;16.27;.process of refining or protecting wooden surfaces, e.g. coating, impregnating, finishing, polishing, buffing, oiling, waxing, bleaching, staining, painting or varnishing of wooden products. 
1627;Wykończanie wyrobów drewnianych; procesy wykończające lub zabezpieczające powierzchnię wyrobów drewnianych;16.27;.process of refining or protecting wooden surfaces, e.g. coating, impregnating, finishing, polishing, buffing, oiling, waxing, bleaching, staining, painting or varnishing of wooden products. 
1627;Wykończanie wyrobów drewnianych;procesy wykończające lub zabezpieczające powierzchnię wyrobów drewnianych;16.27;.process of refining or protecting wooden surfaces, e.g. coating, impregnating, finishing, polishing, buffing, oiling, waxing, bleaching, staining, painting or varnishing of wooden products. 
1627;Wykończanie wyrobów drewnianych;procesy wykończające lub zabezpieczające powierzchnię wyrobów drewnianych;16.27;.process of refining or protecting wooden surfaces, e.g. coating, impregnating, finishing, polishing, buffing, oiling, waxing, bleaching, staining, painting or varnishing of wooden products. 
1627;Wykończanie wyrobów drewnianych;procesy wykończające lub zabezpieczające powierzchnię wyrobów drewnianych;16.27;.process of refining or protecting wooden surfaces, e.g. coating, impregnating, finishing, polishing, buffing, oiling, waxing, bleaching, staining, painting or varnishing of wooden products. 
1628;Produkcja pozostałych wyrobów z drewna oraz wyrobów z korka, słomy i materiałów używanych do wyplatania;produkcję różnych wyrobów z drewna: trzonków, uchwytów i korpusów do: narzędzi, mioteł, szczotek i pędzli, drewnianych form i kopyt szewskich, wieszaków ubraniowych, drewnianych artykułów gospodarstwa domowego, naczyń stołowych i kuchennych, drewnianych statuetek i ornamentów, drewna intarsjowanego, drewna inkrustowanego, drewnianych kasetek i szkatułek na biżuterię, sztućców i podobnych artykułów, drewnianych cewek (szpuli), kopek, wrzecion, szpulek na nici oraz podobnych wyrobów z drewna toczonego, innych wyrobów z drewna,produkcję drewnianych ram do płócien malarskich,przetwarzanie korka naturalnego, produkcję korka aglomerowanego,produkcję korka do butelek,produkcję wyrobów z korka naturalnego lub aglomerowanego, wyłączając elementy podłogowe, produkcję plecionek i wyrobów wyplatanych: mat, wycieraczek, parawanów, pudełek i tym podobynch, produkcję koszy i innych wyrobów wikliniarskich, produkcję ram do luster i obrazów, z drewna, produkcję rączek do parasolek, lasek i podobnych przedmiotów, produkcję bloków do wyrobu fajek do palenia tytoniu.;16.28; manufacture of various wood products: wooden handles and bodies for tools, brooms, brushes.wooden boot or shoe lasts and trees, clothes hangers.household utensils, tableware and kitchenware of wood.wooden statuettes and ornaments, wood marquetry, inlaid wood.wooden cases for jewellery, cutlery and similar articles.wooden spools, cops, bobbins, sewing thread reels and similar articles of turned wood.other articles of wood.manufacture of wooden frames for artists' canvases.natural cork processing, manufacture of agglomerated cork.manufacture of cork for bottles.manufacture of articles of natural or agglomerated cork, including floor coverings.manufacture of plaits and products of plaiting materials: mats, matting, screens, cases etc..manufacture of basket-ware and wickerwork.manufacture of wooden mirror and picture frames.manufacture of handles for umbrellas, canes and similar.manufacture of blocks for the manufacture of smoking pipes. 
1812;Pozostałe drukowanie;"drukowanie czasopism i pozostałych periodyków, wydawanych rzadziej niż cztery razy w tygodniu, drukowanie książek, broszur, nut i manuskryptów, map, atlasów, plakatów, katalogów reklamowych, prospektów i innych reklam, znaczków pocztowych, znaczków skarbowych, druków manipulacyjnych, czeków i innych papierów wartościowych, kart inteligentnych, albumów, kalendarzy, notatników, pamiętników, podkładek pod kufle do piwa, formularzy, papieru listowego, papieru z nagłówkiem i innych podobnych artykułów drukowanych przy użyciu maszyn drukarskich, offsetowych, rotograwiurowych, fleksograficznych, sitodruku i pozostałych maszyn drukarskich, kserokopiarek, drukarek komputerowych, wytłaczarek, fotokopiarek i termokopiarek, włączając szybkie drukowanie bezpośrednio na wyrobach/materiałach tekstylnych, tworzywie sztucznym, szkle, metalu, drewnie i ceramice, drukowanie cyfrowe, drukowanie dekoracyjne, na przykład: papieru ozdobnego do pakowania prezentów, tapety, wyrobów przeznaczonych do przenoszenia, drukowanie wielkoformatowe, na przykład: flag, banerów, stojaków reklamowych typu ""roll-up"", plakatów, drukowanie etykiet i przywieszek, na przykład: metodą litografii, druku wklęsłego, fleksografii, drukowanie znaków, grawerowanie laserowe na materiałach tekstylnych, działalność w zakresie drukowania reklam";18.gru; printing of magazines and other periodicals, appearing less than four times a week.printing of books and brochures, music and music manuscripts, maps, atlases, posters, advertising catalogues, prospectuses and other printed advertising, postage stamps, taxation stamps, documents of title, cheques and other security papers, smart cards, albums, diaries, calendars and other commercial printed matter, beer mats, personalised stationery and other printed matter by letterpress, offset, photogravure, flexographic, screen printing, and other printing presses, duplication machines, computer printers, embossers etc., including quick printing directly onto textiles, plastic, glass, metal, wood and ceramics.digital printing.silk-screen printing on textiles and wearing apparel.photocopying of documents.decorative printing, e.g. printing of gift wraps, wallpapers, materials for transfer.large format printing, e.g. printing of flags, banners, roll-ups, postersThe material printed is typically copyrighted.This class covers exclusively printing services activities, not goods.. This class also includes:  printing on labels or tags, e.g. lithographic, gravure printing, flexographic printing, printing signs.laser engraving on textiles.activities of printing photographs.activities of advertising printing
1812;Pozostałe drukowanie;fotokopiowanie dokumentów;18.gru; printing of magazines and other periodicals, appearing less than four times a week.printing of books and brochures, music and music manuscripts, maps, atlases, posters, advertising catalogues, prospectuses and other printed advertising, postage stamps, taxation stamps, documents of title, cheques and other security papers, smart cards, albums, diaries, calendars and other commercial printed matter, beer mats, personalised stationery and other printed matter by letterpress, offset, photogravure, flexographic, screen printing, and other printing presses, duplication machines, computer printers, embossers etc., including quick printing directly onto textiles, plastic, glass, metal, wood and ceramics.digital printing.silk-screen printing on textiles and wearing apparel.photocopying of documents.decorative printing, e.g. printing of gift wraps, wallpapers, materials for transfer.large format printing, e.g. printing of flags, banners, roll-ups, postersThe material printed is typically copyrighted.This class covers exclusively printing services activities, not goods.. This class also includes:  printing on labels or tags, e.g. lithographic, gravure printing, flexographic printing, printing signs.laser engraving on textiles.activities of printing photographs.activities of advertising printing
2014;Produkcja pozostałych podstawowych chemikaliów organicznych;produkcję podstawowych chemikaliów przy zastosowaniu takich procesów jak kraking termiczny, destylacja. Wynikiem tych procesów są zwykle wyodrębnione pierwiastki chemiczne oraz wyodrębnione chemicznie zdefiniowane związki organiczne. produkcję podstawowych chemikaliów organicznych: acyklicznych węglowodorów nasyconych i nienasyconch, cyklicznych węglowodorów nasyconych i nienasyconch, alkoholi cyklicznych i acyklicznych, kwasów jedno- i wielokarboksylowych, włączając syntetyczny kwas octowy, innych związków z rodnikami zawierającymi tlen, włączając aldehydy, ketony, benzochinony i związki o dwu i wielu rodnikach zawierających tlen, syntetycznej gliceryny, organicznych związków azotowych, włączając aminy, alkoholu etylowego i estrów pochodzenia rolniczego nie przeznaczonych do spożycia, syntetycznego alkoholu etylowego, innych związków organicznych, włączając produkty destylacji drewna (na przykład węgiel drzewny) i tym podobne, produkcję syntetycznych aromatów, produkcję metanu nie jako paliwa gazowego paliwa gazowego dostarczanego w systemie sieciowym, produkcję smoły węglowej, produkcję alkoholu etylowego do celów innych niż do paliwa bioetanolowego,;20.14; the manufacture of chemicals using basic processes, e.g. thermal cracking, distillation. The output of these processes are usually separate chemically defined organic compounds. manufacture of basic organic chemicals: acyclic hydrocarbons, saturated and unsaturated.cyclic hydrocarbons, saturated and unsaturated.acyclic and cyclic alcohols.mono- and polycarboxylic acids, including acetic acid.other oxygen-function compounds, including aldehydes, ketones, quinones and dual or poly oxygen-function compounds.synthetic glycerol.nitrogen-function organic compounds, including amines.fermentation of sugarcane, corn or similar to produce alcohol and esters.other organic compounds, including wood distillation products (e.g. charcoal) etc..manufacture of synthetic aromatic products.manufacture of methane, not for the provision as a gaseous fuel through a permanent supply network.distillation of coal tar.manufacture of ethyl alcohol, other than for bioethanol fuel.manufacture of refrigerant gases. 
2016;Produkcja tworzyw sztucznych w formach podstawowych;produkcję proszków, granulatów lub płatków z tworzyw sztucznych, poprzez zmieszanie lub przekształcenie żywic pochodzących z odzyskanych odpadów z tworzyw sztuczych, produkcję tworzyw sztucznych pochodzących z recyklingu, w płatkach lub granulkach, na bazie wstępnie przetworzonych odpadów z tworzyw sztucznych, pochodzących z procesów odzysku materiałów.;20.16; the manufacture of resins, plastic materials and non-vulcanisable thermoplastic elastomers, the mixing and blending of resins on a custom basis, as well as the manufacture of non-customised synthetic resins. manufacture of plastics in primary forms: polymers, including those of ethylene, propylene, styrene, vinyl chloride, vinyl acetate and acrylics.polyamides.phenolic and epoxide resins and polyurethanes.alkyd and polyester resins and polyethers.ion-exchangers based on polymers.manufacture of silicones in primary forms.plastic compounding activities. This class also includes:  manufacture of cellulose and its chemical derivatives.manufacture of plastic powders, granules or flakes by compounding or transforming plastic resins from recovered plastic waste.manufacture of recycled plastic in flakes or plastic granulates based on pre-treated plastic waste following material recovery operations
2051;Produkcja biopaliw płynnych;produkcję etanolu z biomasy, produkcję mieszanek bioetanolu i eterów częściowo pochodzących z biomasy, produkcję biopaliw płynnych, nawet gdy na wejściu procesu produkcyjnego wykorzystywane są odpady.;20.51; manufacture of biodiesel.manufacture of ethanol from biomass.manufacture of mixtures of bio-ethanol and ethers partially derived from biomass.manufacture of liquid biofuels even if processes use waste as an input. 
2051;Produkcja biopaliw płynnych;produkcję biodiesla,;20.51; manufacture of biodiesel.manufacture of ethanol from biomass.manufacture of mixtures of bio-ethanol and ethers partially derived from biomass.manufacture of liquid biofuels even if processes use waste as an input. 
